-1:30:17 | Voltage: 🍀🐻‍❄️ 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀
1:00:14 | CantDood: they're for different situations
1:00:15 | RBZE7: it seems like we have a consensus
1:00:15 | Fettuccine フェットチーネ: Right
1:00:17 | Chloro [クロロ]: R- I mean left
1:00:20 | CantDood: can't choose
1:00:24 | Jackku Chan: Right makes my joystick happy but left makes my heart happy
1:00:25 | Orange Princess: left
1:00:26 | Dick Smith: left, need pictures of happy daughter
1:00:29 | Ark K.: left is cute but right is funny, hard choice
1:00:34 | Kaiser Kebab: Right
1:00:35 | O5060403: Right... If mirrored
1:00:35 | WeekendWarrior126: proud dads in the chat gj
1:00:40 | TomHate: right
1:00:45 | Sheep: left
1:01:01 | WeeabooSlime: I'll buy whatever makes bear daughter happy
1:01:07 | Zaszz: left
1:01:30 | ThePlatinumCan: I'd buy left one (cute), if I save enough money
1:01:37 | Kemonomimi: on pc case
1:01:39 | Sheep: everywhere
1:01:39 | WeekendWarrior126: on guitars 
1:01:40 | Zhnigo: on my biceps
1:01:43 | Einaer: PC and laptop
1:01:45 | Nasty Yukari: Ugh, I hate laptop stickers, they look ugly, but that's just me
1:01:46 | Rye Mountain: I want it on my fridge
1:01:46 | TheCanti: Hmm, bumper sticker?
1:01:46 | ノイド: vandalizing
1:01:47 | Chloro [クロロ]: on my guitar
1:01:52 | max r: i have 6 stickers on my car, all my other stickers are in drawer doing nothing....
1:01:53 | Tachi: PC case or guitar
1:01:54 | thelastshinobi56: I collect stickers
1:01:56 | hohoemikuma: in sketchbook
1:02:00 | CantDood: inb4 gentoo
1:02:03 | stuffed idiot: pc case and phone
1:02:04 | O5060403: I don't actually stick them... I put them in an album
1:02:08 | SpaceTalon: on my fridge 
1:02:08 | Sheep: around my city to share beatani
1:02:15 | OverMagnet: On rear window of car...
1:02:18 | Nasty Yukari: Yeah, mobile phone is a good place
1:02:22 | Dick Smith: need it in a6 or a7 to put in wallet
1:02:25 | ユーネ / Yuune: I will pero pero the poster
1:02:26 | Tachi: On people's cars ww
1:02:27 | The French Fancie: on my monitor
1:02:34 | Dick Smith: or on phone
1:03:00 | Tachi: Hmm
1:03:01 | max r: some people make stickers of vtubers but they are not sold officially
1:03:05 | CantDood: not that I know of
1:03:20 | Oliver Meloche: hololive doesn't even sell stickers 
1:03:41 | Ark K.: stickers are not an option?
1:03:50 | Monkberry Moon: Stickers are kind of rare
1:03:54 | Zhnigo: fridge magnets > stickers
1:04:11 | Nasty Yukari: I wonder if a sticker would look good on my practice piano or keyboard
1:04:20 | Steven Frati: There are multiple amateur sticker manufacturers from the /o/ board that would be able to produce a quality product. 
1:04:28 | Chloro [クロロ]: Some Indies I know sell stickers, but Hololive i'm not sure
1:04:32 | O5060403: Enamel pins!
1:04:48 | max r: redbubble has sticker options, not sure about pixivfactory
1:04:50 | Einaer: Untapped sticker market ready to be dominated by strong bear
1:05:03 | max r: i would guess they do?
1:05:11 | Rye Mountain: I would prefer small
1:05:20 | Rob G.: vinyl stickers are cool
1:05:28 | TheCanti: Total control over the sticker market, bear market incoming
1:05:30 | Nasty Yukari: I think small stickers are easier to place
1:05:35 | O5060403: Yeah, it should be waterproof
1:05:42 | max r: yeah, vinyl stickers can go anywhere 
1:05:42 | O5060403: It would make them more expensive...
1:05:45 | Voltage: clear sticker for car windows
1:05:45 | Monkberry Moon: small stickers that I can put on my phone case or bike
1:05:52 | CantDood: waterproof stickers exist? whoa
1:05:53 | Ark K.: the sticker design can be the same as the one on the mug
1:06:02 | Fettuccine フェットチーネ: Yeah the waterproof ones are better
1:06:07 | max r: @CantDood vinyl decals
1:06:51 | Nasty Yukari: my PC case can have a lot of stickers, yeah
1:07:06 | Voltage: and laptops 
1:07:15 | Rob G.: they mostly go on cars, most Itasha are vinyl ones
1:07:25 | Fettuccine フェットチーネ: I paste them onto the camera
1:07:43 | Jackku Chan: Stickers on your PC or laptop is kind of gross though
1:07:47 | (Verified, Moderator) Streamlabs: RADEON360 just tipped $3.00 dayo!
1:07:55 | O5060403: Yah!
1:08:00 | Steven Frati: That type of sticker is called a "peek"
1:08:02 | Ark K.: aw that's cute
1:08:05 | CantDood: oh the car things yes, forgot they're stickers too
1:08:28 | MagariteIs NotButter: if bear release a sticker i'd just rip off all the other stickers to make room for it
1:08:47 | Einaer: That's a cute sticker
1:08:50 | RADEON 360: I'm a broke third worlder but here
1:08:51 | Zhnigo: cute
1:08:55 | james heller: cute bea
1:08:55 | Rye Mountain: Very cute!
1:08:59 | Melon47: I'm not much of a sticker guy but a Kuma sticker might look good
1:09:02 | 77Yuja_: PC becomes faster!
1:09:03 | Chloro [クロロ]: Cute
1:09:12 | Rye Mountain: That is a good merch idea
1:09:21 | Jackku Chan: Good thing about stickers is that you can stick them anywhere
1:09:22 | Megiddo: I'd get a sticker like that to put on my monitor or something
1:09:23 | Nasty Yukari: PC graphics will be come cuter and funnier
1:09:34 | Fettuccine フェットチーネ: cute
1:09:42 | imalittle cupcake: This is all cool stuff
1:10:01 | Oliver Meloche: cup of you holding the clover is top tier, I would buy that with expensive shipping
1:10:03 | TheCanti: Good bear daughter merch
1:10:10 | Shippo: please add magnets to this, you can use the sticker designs for them
1:10:18 | 77Yuja_: yea
1:10:21 | imalittle cupcake: I have none
1:10:22 | OverMagnet: Dakimakura to sleep with Beatani
1:10:24 | Fettuccine フェットチーネ: Just bought one
1:10:27 | Megiddo: I have a few Gochiusa acrylic stands
1:10:29 | Nasty Yukari: I don't have an acryllic stand already, but it sounds like a nice idea!
1:10:39 | max r: I don't own any acrylic stand. I think it's really boring merch.
1:10:45 | Melon47: too poor for any merch, myself
1:10:53 | dice: I have two acrylic stands from Booth
1:10:54 | Shippo: I do have a few stands of my anime wife, Beatani's the only vtuber i watch though
1:11:05 | OverMagnet: Polka stand is coming in June.
1:11:10 | max r: I'd rather have a real 3d figure or nothing
1:11:11 | WeekendWarrior126: #deadbeat dads
1:11:16 | Transcendental_ColonThree: I have acryllic stands, I like the compromise between quality and price is good.
1:11:21 | Hanabi: I'm not a fan of acrylic stands but I can make an exception for beatani
1:11:22 | Transcendental_ColonThree: I like them tbh
1:11:24 | Rob G.: hang in there Melon-kun
1:11:28 | ThePlatinumCan: No, merch from Japan is very expensive~ I only ordered one and still waiting for delivery.
1:11:30 | ユーネ / Yuune: NEET dad...
1:11:32 | The French Fancie: nah
1:11:35 | TheCanti: DIY daughter merch
1:11:36 | Cameron Clarke: DIY gang
1:11:37 | Sheep: I like 3d stands more to be honest
1:11:38 | SpaceTalon: acrylic stand is something better left for the future
1:11:42 | O5060403: DIY!
1:11:42 | Ark K.: kek
1:11:44 | ThePlatinumCan: DIY gang, yaay!
1:11:50 | Ark K.: DIY merch
1:11:50 | Jackku Chan: Use this simple 56-step guide to make your own Beatani
1:11:54 | CantDood: I'm artistically stunned
1:11:56 | Melon47: well I just might, now
1:12:04 | ThePlatinumCan: 👀
1:12:07 | Fettuccine フェットチーネ: lol true
1:12:15 | The French Fancie: I'd rather get the mug or a shirt, you can just print acrylic stands yourself
1:12:17 | Mister Eko: I... I can't pirate it, I need to protect this smile 
1:12:20 | Shippo: i will DIY my daughter
1:12:20 | WeeabooSlime: acrylic stands are cute
1:12:28 | imalittle cupcake: Our daughter is so talented...
1:12:34 | Alfa Ayed: you overstimate our dexterity
1:12:34 | Steven Frati: Instructions unclear got mauled instead.
1:12:35 | Zhnigo: talented bear
1:12:40 | Voltage: business bear needs funding so need dads have to work
1:12:50 | 77Yuja_: take too much time
1:12:52 | ノイド: getting diseases from licking bootleg beatani merch !
1:12:53 | Sheep: the talent from this bear..
1:13:12 | WeeabooSlime: impressive and talented bear daughter
1:13:14 | Tachi: Ooh
1:13:19 | Melon47: very powerful daughter
1:13:19 | OverMagnet: Too talented Beatani
1:13:25 | VampirkoO: Nice!
1:13:26 | Cameron Clarke: dying from licking bootleg beatani stamps
1:13:27 | OverMagnet: Eh
1:13:48 | Chloro [クロロ]: That's amazing honestly
1:14:00 | skrong: very creative
1:14:01 | WeeabooSlime: get job in beatani's silk screening company
1:14:02 | BasedBug: Sad Dads where we at
1:14:12 | Rob G.: blessed laugh
1:14:18 | WeekendWarrior126: Very wholesome. 
1:14:19 | WeeabooSlime: the only pay is beatani merch
1:14:28 | Ark K.: then can you post a tutorial video on how to make the merch?
1:14:29 | TheHighestNativeGod: how are things going everyone?
1:14:42 | gammabruh: cute cup
1:15:24 | Shippo: i want to buy a plush of beatani in a bear form
1:15:33 | Steven Frati: Globally dispersed bear sweatshop dad corps 
1:15:37 | O5060403: DIY stream with Beatani...
1:15:50 | max r: bear told you to use google
1:16:07 | Cameron Clarke: sidewalling with beatani
1:16:10 | WeekendWarrior126: ALL dads will sweat in ANY shops 4 bear.
1:16:34 | TheCanti: Working overtime to support my daughter
1:16:45 | Jackku Chan: Painting with Beatani
1:16:46 | Rob G.: Maybe this kind of videos would get some sisters on board 🤔
1:16:55 | (Verified, Moderator) Streamlabs: NastyYukari just tipped $6.50 dayo!
1:17:46 | Voltage: chadcanti
1:17:49 | max r: I really like figures, but the stand is 2d...
1:17:51 | O5060403: What about postcards?
1:17:52 | Nasty Yukari: cya later dads + bea, need to do something IRL
1:17:55 | Jackku Chan: Based Bear!
1:18:02 | TWAIN: keychains with the t-shirt design would look amazing
1:18:07 | BasedBug: Take it easy, dad
1:18:17 | ユーネ / Yuune: naruhodo ne~
1:18:34 | WeekendWarrior126: What's the bears favorite novel?
1:18:38 | Fettuccine フェットチーネ: lol
1:18:39 | Verijero: same
1:18:39 | max r: i also like looking at pictures of cute girls.
1:18:39 | Sheep: based taste
1:18:48 | thelastshinobi56: minimalist bear
1:18:56 | james heller: nice
1:19:01 | Melon47: I'm the same way
1:19:06 | stuffed idiot: collecting merch gets really expensive
1:19:11 | Megiddo: tapestries/wallscrolls are neat
1:19:16 | imalittle cupcake: I have a Jotaro figure
1:19:16 | max r: only otaku goods i really own is daki and the stickers on my car
1:19:22 | Shippo: subahibi based
1:19:26 | Verijero: buying otaku stuff here is expensive as fuck too so
1:19:38 | Megiddo: I've got a bunch of PVC figures
1:19:45 | dice: Kimika tapestry? BASED
1:19:46 | Hanabi: I own an uncomfortable amount of Kamen Rider goods
1:19:48 | Tachi: I only have a Haruhi Suzumiya figure
1:19:50 | TWAIN: i have a bunch of kancolle stuff
1:19:54 | Inaba: I only have a couple k-on figures
1:20:04 | Meneltir: I have 2 really nice figures, otherwise just custom printed stickers and shirt.
1:20:05 | Verijero: subahibi watchalong with bea when?
1:20:08 | david johnston: have you pero pero'd her?
1:20:17 | Alfa Ayed: some nendroids and posters
1:20:18 | Eika: i have ononoki figure from bakemonogatari series
1:20:22 | TheCanti: Daughter has crush on Haruhi Suzumiya
1:20:23 | Zhnigo: I have some MGR shirts from uniqlo and that's it
1:20:25 | CantDood: subahibi marathon you meant
1:20:27 | gammabruh: basado
1:20:45 | Voltage: best girl
1:20:51 | dice: Did you read new Tsui no Sora remake?
1:20:56 | Xayn: I love Ayana myself
1:20:57 | Ark K.: pero pero who?
1:21:00 | Melon47: licking figurines seems like a good way to ingest chemicals
1:21:14 | hohoemikuma: based
1:21:14 | WeekendWarrior126: Very prudent.
1:21:27 | Monkberry Moon: sacrilege
1:21:35 | luben: what upp
1:21:38 | TheCanti: Don't give up daughter, any girl would be happy to get peropero'd by you
1:22:13 | dice: Yes
1:23:11 | O5060403: Based
1:23:12 | Melon47: nice
1:23:41 | max r: 1.99K ! almost there!
1:23:41 | luben: take it easy
1:23:52 | dice: read it on July 20
1:23:53 | max r: 🎉 early
1:23:54 | TheCanti: Niceu Merchu
1:24:11 | Verijero: 10 subs tog o
1:24:20 | A A: We can hit 2k this stream.
1:24:24 | TheCanti: Keychains are always good choice
1:24:34 | Voltage: Beatani you should ask people too like and subscribe at the beginning and end of stream s 
1:24:36 | BasedBug: You dads all better sub
1:24:36 | WeekendWarrior126: woah
1:24:40 | WeekendWarrior126: very quick draw
1:24:41 | thelastshinobi56: focused bear
1:24:43 | Voltage: it’ll help you alot
1:24:44 | ellescer: Would buy
1:24:52 | max r: bear drawing is speed
1:24:55 | Ark K.: close to 2k subs let's goooooo
1:25:01 | Zhnigo: that speed sketching tho
1:25:03 | TheCanti: Could just be bear daughter's face with "YAH" written under it
1:25:11 | WeekendWarrior126: such concentration!
1:25:13 | Shippo: very nice stand!
1:25:16 | WeekendWarrior126: admirable!
1:25:16 | stuffed idiot: 2k karaoke hype
1:25:16 | Voltage: bear is speed
1:25:18 | Melon47: very fast drawing at incredible hihg speed
1:25:19 | Oliver Meloche: full focus
1:25:19 | Shippo: great!
1:25:22 | Jackku Chan: Niice
1:25:22 | imalittle cupcake: Looks great!
1:25:23 | Verijero: cute
1:25:31 | Shippo: could you draw yourself in a small puchi bear form?
1:25:43 | Hanabi: only 10 subs to 2k
1:25:43 | TheCanti: 👏 👏 👏 👏 👏 
1:25:45 | Monkberry Moon: Imagine a Beatani figurine
1:25:51 | max r: we have YAH in only 6 hours! i am excited!
1:25:52 | TheCanti: Good work daughter
1:25:54 | Ark K.: mousepad merch please
1:26:03 | OverMagnet: All cute!
1:26:03 | Zhnigo: so no fridge magnets?
1:26:06 | Chloro [クロロ]: Nice, I'm looking forward for the goods!
1:26:10 | Voltage: almost at 2k!!!
1:26:13 | Jackku Chan: Yah!
1:26:15 | ThePlatinumCan: Yah!
1:26:24 | TWAIN: 「taught」
1:26:25 | Shippo: Beatani I beg you, fridge magnets...
1:26:26 | Lyrical Curry: Bearpad
1:26:30 | Kaiser Kebab: Yah!
1:26:30 | Cameron Clarke: pls make the mug 12oz 
1:26:33 | imalittle cupcake: Thank you for streaming
1:26:33 | BasedBug: Thank you for the fun stream! I like the different hours
1:26:41 | TheCanti: Our daughter is growing stronger!
1:26:42 | Zhnigo: 1.99k subscribers
1:26:43 | (Verified, Moderator) Streamlabs: Kyle just tipped $5.00 dayo!
1:26:47 | ThePlatinumCan: Thank you for the stream, I'm glad I catched it up.
1:26:48 | Ark K.: 2k dads
1:26:49 | Tachi: Yah
1:26:50 | O5060403: Thank you for the stream, please rest well!
1:26:51 | thelastshinobi56: Thanks for the stream!!
1:26:55 | Sheep: just 10 left
1:26:55 | BasedBug: LETS GOOOOOOOO
1:27:00 | Jackku Chan: 2k So close!
1:27:03 | Fettuccine フェットチーネ: Let's go!
1:27:04 | ThePlatinumCan: IKZ
1:27:07 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
1:27:12 | stuffed idiot: Better get that set list ready
1:27:13 | luben: less go
1:27:13 | Chloro [クロロ]: 2K IKZZ!
1:27:15 | Tachi: Let's goooo
1:27:16 | OverMagnet: お疲れ様でした！
1:27:19 | Voltage: 2k subscribers is very close!!
1:27:22 | VampirkoO: IKZ!
1:27:28 | max r: i wonder why sometimes the GIF shows up and sometimes it does not
1:27:30 | WeekendWarrior126: very close there must be 10 more here 
1:27:30 | TheCanti: Karaoke daughter stream soon!
1:27:34 | BasedBug: COME ONNNNN
1:27:37 | Sheep: she's happy, so cute
1:27:39 | Monkberry Moon: Almost there
1:27:40 | O5060403: Quickly, make new accounts!
1:27:48 | Verijero: nice
1:27:51 | Ark K.: beatani is based, cute and funny
1:27:52 | imalittle cupcake: I love seeing our daughter so happy
1:27:56 | Mister Eko: yeeeeeeeeeeeeeeeeeeeeeeeees
1:27:57 | ThePlatinumCan: Karaoke, yess! 🎊
1:28:03 | TheCanti: GO GO GO DAUGHTER
1:28:04 | Xayn: 2K endurance stream!!!
1:28:08 | Oliver Meloche: karaoke party!!!!!!!!!!
1:28:10 | imalittle cupcake: Based bokukko bear
1:28:16 | max r: Are you going to ask for some song suggestion on community post on youtube or twitter post?
1:28:16 | TomHate: :washhands::washhands:
1:28:18 | Cameron Clarke: 🙏
1:28:24 | CantDood: yah sankyuu for stream
1:28:25 | Verijero: good bye!
1:28:27 | Oliver Meloche: look foward to cups 
1:28:36 | james heller: thank you for the stream!
1:28:41 | Kaiser Kebab: Bye bye! 
1:28:41 | Rodolfo, o geriatra: bye
1:28:43 | Tachi: byebyeee
1:28:45 | Verijero: adioss
1:28:45 | RueTobas: bye
1:28:47 | OverMagnet: GAO! GAO! GAO!
1:28:49 | Rodolfo, o geriatra: thanks for the stream
1:28:50 | TomHate: bye bye bea!
1:28:51 | Chloro [クロロ]: おつかれ! Thanks for the stream!
1:28:52 | luben: byyye
1:28:53 | Orange Princess: bye bear
1:28:55 | Ark K.: bye bear
1:28:55 | Kaiser Kebab: A
1:29:04 | Voltage: thanks bear! hope you sleep well
1:29:21 | ThePlatinumCan: Radeon? lol
1:29:30 | Jackku Chan: Oh yeah it's midnight in Japan
1:29:37 | Victor Cavina: oh no I reached late
1:29:41 | Kaiser Kebab: Oyasumi
1:30:02 | SpaceTalon: Very cute stream!
1:30:06 | Inaba: goodnight cute bear
1:30:33 | Hanabi: thanks for the stream!
1:30:57 | max r: based bear
1:30:58 | Megiddo: Otsukare, bea bea
1:30:58 | Jackku Chan: Go go go!
1:30:59 | Voltage: appreciative bear
1:31:00 | BasedBug: SHE DID IT!
1:31:01 | BasedBug: 2K!
1:31:03 | Shippo: bea ea!
1:31:06 | Zhnigo: we hit 2K
1:31:08 | WeekendWarrior126: sleep sleep
1:31:08 | imalittle cupcake: Sweet dreams daughter
1:31:09 | Jackku Chan: Ikz to bed!
1:31:09 | ThePlatinumCan: Already 2K
1:31:13 | ThePlatinumCan: CONGRATULATIONS
1:31:13 | WeekendWarrior126: good night!
1:31:13 | Shippo: 2k!
1:31:15 | Steven Frati: Keep up the good work bear!
1:31:15 | TWAIN: 2K GET
1:31:18 | Sheep: 2k!!!
1:31:18 | thelastshinobi56: Yah
1:31:19 | Zhnigo: Congratulations bear
1:31:19 | Megiddo: YOOO 2000 Subs GET
1:31:21 | max r: Oh, you just hit 2k!!!
1:31:22 | BasedBug: CONGRATUALTIONS!
1:31:22 | SpaceTalon: based!
1:31:26 | Transcendental_ColonThree: CONGRATULATIONS DAUGHTER 🐻‍❄🍀
1:31:28 | Rye Mountain: 🎉🎉
1:31:29 | Chloro [クロロ]: 2K!! おめでとう!!!
1:31:30 | TheCanti: 2k DAUGHTER LETS GO GO GO GO
1:31:31 | Voltage: CONGRATS ON 2K BASED BEAR🐻‍❄️🍀❄️🐻‍❄️🍀❄️
1:31:33 | RueTobas: bye bye
1:31:33 | max r: 🎉
1:31:34 | Megiddo: OMEDETOU~
1:31:34 | ThePlatinumCan: 🎉🎉🎉🎉
1:31:36 | max r: 🎉
1:31:36 | Sheep: congratulations!!!
1:31:36 | Jackku Chan: Bea bea
1:31:37 | BasedBug: CONGRATS! BEA BEA
1:31:38 | max r: 🎉
1:31:38 | SpaceTalon: bye bye 
1:31:40 | ThePlatinumCan: Bye bye!
1:31:40 | Zhnigo: good night
1:31:40 | Kyle: Congratulations! 🎊
1:31:41 | RBZE7: Bea bea !
1:31:42 | Rye Mountain: Bea bea, congratulations for 2k
1:31:43 | TWAIN: goodbye and congrats 🐻‍❄🍀
1:31:44 | Kyle: Bear bear!
1:31:44 | Jubes: bea bea
1:31:44 | TheCanti: CONGRATS AND GOOD NIGHT
1:31:45 | Transcendental_ColonThree: bea bea!
1:31:45 | VampirkoO: Bea Bea! 
