-1:47:10 | (New member) Shippo: □
33:07 | stuffed idiot: おはだよ！
33:07 | (New member) Karren Taleb: OD stream
33:08 | (New member) anonEDM: :_oha::_dayo:
33:09 | (New member) RueTobas: OHADAYO
33:10 | (New member) Verijero: who is (you)?
33:10 | Majical: hi
33:10 | (New member) Rye Mountain: Ohadayo
33:10 | (New member) Sol Codguy: :_oha::_dayo:
33:12 | (New member) Zhnigo: :_oha::_dayo:
33:12 | Sheep: welcome back
33:13 | (New member) LoneRanger25: :_oha::_dayo:
33:13 | (New member) Tachi: :_kita:
33:14 | Voltage: OHADAYOO BEAR!
33:16 | (New member) Zyadarya: :_oha::_dayo:
33:16 | Eric Muller: おかえり
33:19 | (New member) Moeniki: :_oha::_dayo:
33:20 | (New member) LassesAffar: :_oha::_dayo:
33:20 | (New member) Sol Codguy: IKZ
33:22 | Theodore Kaczynski: Beatani mommy gf!
33:22 | (New member) クラガリ葉月: Who is you?
33:22 | (New member) Stray Wolf: Ohadayo 
33:24 | (New member) Canna: Weird dream about prime numbers 
33:25 | (New member) skrong: o-ohadayo
33:25 | (New member) Hanabi: guys, I can't see anything on screen... the meds...
33:27 | (New member) CantDood: hi!
33:27 | (New member) Karren Taleb: :_kita:
33:29 | No Body: I thought I was a goner...
33:29 | (New member) フェットチーネ: :_oha::_dayo:
33:30 | (New member) RueTobas: Did you take your meds today Bea?
33:33 | (New member) Matthew Caballero: :_oha::_dayo:
33:33 | (New member) Megiddo: next topic!
33:34 | (New member) RBZE7: s-still here.... she must have AWAYed the meds after all !
33:34 | Theodore Kaczynski: Beatani oka-san gf!
33:34 | Melon47: sure is weird how I cant remember the last ten minutes
33:45 | (New member) Matthew: cringe
33:47 | (New member) Mister Eko: I K Z
33:52 | (New member) Kofi: ok
33:54 | (New member) ThePlatinumCan: I K Z
33:56 | (New member) The Flesh Is Weak: IKZ:_sprdo:
34:02 | (New member) ThePlatinumCan: :_yah:
34:04 | VerticalCloud: let's go!
34:05 | (New member) imalittle cupcake: :_yah:
34:06 | (New member) Moeniki: Gosling
34:09 | Börk Börk: Gosling
34:11 | (New member) Zhnigo: hollywood actor ryan gosling
34:12 | (New member) Lamb San: Gosling
34:12 | (New member) LoneRanger25: Gosling...
34:12 | (New member) BasedBug: This question is a lot more calm than the last one
34:14 | (New member) クラガリ葉月: Gosling
34:14 | Hououin Kyouma: gosling
34:14 | (New member) nona: Ryan....
34:15 | Sheep: interesting
34:15 | (New member) Rye Mountain: Gosling of course
34:16 | BearintheWoods: Nic Cage
34:18 | Cannon: Keanu reeves 
34:18 | (New member) anonEDM: Ryan Gosling
34:18 | (New member) Verijero: gosling
34:18 | (New member) BasedBug: Gosling..
34:18 | Bazaru Z: Ryan Gosling
34:19 | (New member) Ekusupuroshon: Gosling...
34:20 | (New member) Firstname Lastname: Ryan Gosling
34:23 | (New member) Xayn: Famous hollywood actor Ryan Gosling
34:27 | (New member) Sol Codguy: Make or break moment for Ryan Gosling
34:27 | (New member) LassesAffar: gosling...
34:29 | stuffed idiot: so many goslings
34:30 | (New member) Lamb San: Ryan Gosling
34:31 | No Body: R. Josling
34:34 | (New member) Moeniki: Gosling san
34:42 | (New member) ThatVidyaGuy: Ryan Gosling
34:43 | (New member) The Flesh Is Weak: Bosling:_sprdo:
34:43 | Voltage: HIROYUKI
34:43 | (New member) Mister Eko: Close enough
34:43 | D3bugged: Ryan Gosling
34:45 | (New member) max r: Hollywood actor Ryan Gosling
34:47 | (New member) Lamb San: Gosling bros....
34:48 | (New member) Megiddo: TAK-KUN?
34:51 | Indago: Never heard of 'em.
34:52 | (New member) BasedBug: Is he Japanese Ryan Gosling?
34:53 | Sheep: no I don't know lol
34:53 | (New member) Zhnigo: kakyoin?
34:54 | (New member) LoneRanger25: 誰？
34:54 | (New member) クラガリ葉月: Japanese for Ryan Gosling
34:57 | (New member) Theblekedet: I don't think so
35:05 | Theodore Kaczynski: Ryan Gosling from the Blade Runner series!
35:07 | (New member) CantDood: u sure?
35:11 | Hollywood actor Ryan Gosling: Me!
35:14 | Voltage: he is the japanese ryan gosling's
35:16 | Ansat: Ryan Gosling from Drive
35:27 | (New member) Mister Eko: Is she a movie actress?
35:31 | Cannon: he is in chat holy shit
35:32 | (New member) Nasty Yukari: thats not gosling...
35:33 | (New member) Mister Eko: actor?
35:34 | stuffed idiot: I'm uncultured, please teach me
35:36 | (New member) LoneRanger25: (You) don't know
35:37 | (New member) Verijero: (you) dont know
35:38 | (New member) Sneed Feed: sugoi it's the real Hollywood actor Ryan Gosling! In this chat!
35:38 | (New member) Tianfang's Adventures: I do not im sorry
35:39 | (New member) Megiddo: I do not know her
35:39 | BearintheWoods: Nic Cage from The Rock?
35:40 | (New member) Theblekedet: tell us, bear
35:47 | AtomicBanana 55: I don't know her
35:47 | (New member) Stray Wolf: (You) don't know
35:48 | Cannon: JAV actor?
35:48 | No Body: our actor reps are weak..
35:50 | (New member) Megiddo: gravure nice
35:50 | (New member) Mister Eko: OF COURSE
35:51 | stuffed idiot: うおおおおお
35:51 | (New member) クラガリ葉月: Isn't she female Ryan Gosling?
35:52 | Sheep: is she cute?
35:53 | (New member) Sol Codguy: Now I'm interested
35:54 | (New member) Moeniki: Gravure? owow
35:54 | knull: nice
35:55 | (New member) Tachi: Gravure
35:55 | (New member) Shippo: uh oh
35:56 | Jarrels: is your favourite actor cute and funny?
35:56 | Börk Börk: リアン・ゴスリング
35:58 | (New member) CantDood: sasuga
35:59 | stuffed idiot: based
35:59 | (New member) Sneed Feed: LMAO
36:00 | Voltage: what movies is she in?
36:02 | (New member) ThePlatinumCan: Can you write her name in the chat?
36:02 | Sheep: lets see
36:03 | (New member) anonEDM: Kyoko Fukada?
36:03 | Bazaru Z: Relevant codes?
36:10 | (New member) Lamb San: Ok but what about Ryan Gosling Be?
36:11 | (New member) Ludd: Beatani, did you take your meds? I'm starting to feel kinda wierd. I'm starting to disappear
36:11 | (New member) Moeniki: Does she make Animal Videos?
36:27 | (New member) RBZE7: @Börk Börk got me lmfao
36:32 | (New member) Stray Wolf: 深田 恭子? 
36:37 | No Body: I heard ecchi?
36:41 | VerticalCloud: thank you
36:44 | (New member) Mister Eko: Will youtube like it...?
36:46 | (New member) Stray Wolf: Kyoko Fukada? 
36:46 | Cannon: ecchi pics ?
36:48 | (New member) クラガリ葉月: She's already cheating on Listener-chan..
36:54 | (New member) LassesAffar: Do you want to get Fukakyon pregnant?
36:54 | (New member) RBZE7: cute !
36:54 | (New member) Mister Eko: 24
36:55 | (New member) max r: is she holding meat???
36:56 | (New member) Megiddo: ah yes, Kyoko Fukada
36:56 | (New member) Sol Codguy: That's a great picture.
36:56 | (New member) Lazm: MEAT
36:56 | (New member) BasedBug: That's not Ryan Gosling!
36:57 | (New member) Lamb San: meat
36:58 | (New member) Zhnigo: meat
36:58 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Meat pillow
36:59 | stuffed idiot: cute
37:00 | (New member) Hanabi: oh I think I know why she likes her
37:01 | (New member) Theblekedet: cute
37:02 | (New member) Nero: MEAT PILLOW
37:02 | VerticalCloud: meat
37:02 | (New member) Shippo: cute
37:03 | (New member) Matthew: Meat?
37:04 | (New member) Idle Bear: Is that dakamura steak?
37:05 | (New member) ThePlatinumCan: Niku/10
37:06 | Sheep: cute, meat lover I see
37:06 | (New member) CantDood: i, too, love meat
37:06 | (New member) LoneRanger25: Is she also funny?
37:07 | (New member) Lazm: CUTE BIG MEAT
37:07 | (New member) Rye Mountain: Holding enourmous meat
37:07 | (New member) Xayn: 29
37:07 | (New member) Tianfang's Adventures: cute 
37:07 | Cannon: who's meat is that?
37:08 | AtomicBanana 55: Meat
37:08 | (New member) Moeniki: (・д・)ﾁｯ
37:09 | Question Box: cute meat lover
37:10 | (New member) 77Yuja_: thats me...
37:11 | Melon47: mest pillow
37:14 | (New member) anonEDM: she likes big meat
37:14 | VayneD: meat...... 
37:14 | (New member) Mister Eko: It's a pleasure to meat her
37:15 | (New member) Stray Wolf: 深田 恭子
37:15 | (New member) CommanderMichael: wait, she's from the yatterman movie?
37:15 | No Body: I want that meat
37:17 | (New member) Theblekedet: She's packing a big meat
37:18 | (New member) Kofi: cool pillow
37:19 | (New member) The Flesh Is Weak: architects...
37:26 | Mr. Gillespie: professional bear documentary actress beatani
37:26 | Sheep: I see I see
37:29 | (New member) Lamb San: isn't she married to Ryan Gosling???
37:30 | (New member) Sneed Feed: meat
37:35 | SpaceTalon: high taste
37:35 | (New member) Lazm: many girls are happy to have big meat
37:35 | (New member) BasedBug: Meat Day is next week!
37:38 | Voltage: she is cute
37:38 | stuffed idiot: it's crazy she bought a Beatani pillow
37:43 | Bazaru Z: She's got such a tight grip around that meat
37:44 | (New member) Sneed Feed: she is hugging that meat hard
37:47 | (New member) Canna: That woman is satisfied with her meat. 
37:48 | (New member) Ekusupuroshon: 29
37:50 | SpaceTalon: she'd gotten big meat and that made her ahppy
37:54 | (New member) max r: not as cute as beatani
37:54 | Sheep: nice hands
37:57 | (New member) Stray Wolf: >Height: 1.63 m
37:58 | Börk Börk: She's got a lot of niku on her chest
38:03 | No Body: that's some really cute meat pillow tbh
38:04 | Eric Muller: 肉まくら
38:08 | (New member) Mister Eko: Oooh she was in the Yatterman movie
38:10 | Melon47: I wish someone looked at me the way she looks at that meat
38:11 | (New member) Lazm: 🥩🥩🥩🥩 satisfied big meat
38:12 | (New member) Verijero: for me its kanna hashimoto's face
38:16 | (New member) ThePlatinumCan: Imagine
38:18 | (New member) Zhnigo: uooh...
38:20 | (New member) クラガリ葉月: OLD!
38:20 | Zazubon: that a nice beef 
38:21 | (New member) BasedBug: IMAGINE
38:22 | Mr. Gillespie: wait a minute that person looks too Asian to be Ryan Gosling...
38:23 | (New member) Nero: That pillow is making me hungry
38:23 | (New member) Sneed Feed: oh no
38:25 | Majical: big meat
38:27 | (New member) CantDood: meat pillow can grant happiness to anyone
38:27 | (New member) Lamb San: hag love
38:28 | Jarrels: I hope she washed her hands before grabbing that meat
38:29 | Question Box: HAG LOVE
38:30 | VayneD: awesome 
38:31 | (New member) Sneed Feed: she's a christmas cake...
38:32 | Sheep: grandma
38:34 | (New member) LoneRanger25: HAG LOVE
38:37 | (New member) 77Yuja_: never age
38:38 | (New member) ThatVidyaGuy: That pillow makes me want steak.
38:47 | (New member) RueTobas: so we call her mommy?
38:50 | eeo: hagchads can't keep getting away with this...
38:52 | stuffed idiot: I don't see a ring there's a chance
38:55 | Melon47: >36 >old
38:56 | (New member) The Flesh Is Weak: is she funny though?
39:00 | Melon47: cowards, all of you
39:08 | VerticalCloud: same lol
39:20 | (New member) LoneRanger25: That's almost middle age, it counts
39:26 | Sheep: i'll check her out
39:28 | (New member) CommanderMichael: @stuffed idiot ahahaha\
39:37 | (New member) Lazm: big 🥩 love
39:40 | Theodore Kaczynski: Bea, say “Mommy”
39:40 | Lodowa Wrozka: near 40yo? Japanese genes are something
39:48 | (New member) Stray Wolf: same
39:51 | Eric Muller: Is there a picture of her biting the pillow?
39:51 | Ark Sword Misc.: someone talking about かに?
39:59 | (New member) BasedBug: After I take the meds everyone looks the same
40:11 | (New member) Mister Eko: yes
40:11 | (New member) Lamb San: I wonder if Beatani actually knows Ryan Gosling though
40:13 | Lee: Yes!
40:14 | (New member) Verijero: kek
40:14 | (New member) Zhnigo: prosopagnosia...
40:15 | Sheep: can't blame you
40:15 | Theodore Kaczynski: ARR ROOK SAME
40:16 | (New member) Theblekedet: Yeah
40:17 | (New member) Kofi: yes
40:17 | (New member) Matthew: Yes
40:17 | (New member) CantDood: relatable
40:18 | (New member) Sol Codguy: I can relate
40:20 | (New member) Lazm: "Facial Blindness"
40:21 | (New member) Fake Name: Me too
40:23 | (New member) Nero: Like the medical condition?
40:23 | (New member) ThePlatinumCan: Yes
40:24 | (New member) Cave Johnson: eh same
40:24 | Börk Börk: Wakatta, beatani
40:25 | (New member) ThatVidyaGuy: yes
40:25 | (New member) LoneRanger25: YEP
40:26 | (New member) max r: ❌
40:27 | AtomicBanana 55: Understood
40:31 | (New member) LoneRanger25: :_yah:
40:31 | stuffed idiot: nope
40:32 | (New member) Verijero: what about anime girls?
40:36 | (New member) Mister Eko: I think it's not uncommon 
40:36 | (New member) The Flesh Is Weak: Bea is getting blind...
40:46 | (New member) imalittle cupcake: Prosopagnosia?
40:52 | (New member) Fake Name: Why is she holding a steak plushie
40:52 | (New member) Lazm: Brad Pitt has facial Blindness also.
41:00 | (New member) クラガリ葉月: うん。分かる。日本人は同じ顔いる
41:02 | Sheep: she loves meat
41:03 | (New member) Sneed Feed: can it be cured?
41:16 | Börk Börk: So you only recognize that actress because of the meat pillow?
41:16 | (New member) BasedBug: Or their profile pictures
41:17 | (New member) Mechanized Doge: oh my god I'm late by 40 minutes aaaaaaahhhhh
41:23 | (New member) Lazm: distinguish by their 🥩
41:29 | (New member) Theblekedet: it's way easier that way
41:42 | (New member) max r: but-- just in time for the meat pillow
41:49 | (New member) The Flesh Is Weak: dads btfo
42:00 | (New member) クラガリ葉月: えええええええ
42:06 | (New member) ThatVidyaGuy: Dangerous 
42:07 | stuffed idiot: dads forgotten...
42:08 | eeo: woah
42:10 | Sheep: that sounds dangerous for a kid lol
42:11 | (New member) Rye Mountain: I did that too, it was very embarrasing...
42:11 | (New member) Lamb San: Bea....
42:13 | (New member) Nero: oh no, my daughter will never recognize me
42:14 | No Body: !?
42:14 | (New member) max r: ahh, is that where we come from ??
42:14 | Börk Börk: I once mistook my mom for someone else when I was small too
42:15 | (New member) 77Yuja_: yab
42:15 | (New member) BasedBug: That happened to me at the beach once, I mistook someone for my family
42:19 | (New member) Mechanized Doge: Oh I did something similar too when I was little.
42:20 | Herbie Cucumber: yabai
42:24 | (New member) RBZE7: that would explain why you have so many fathers
42:28 | Eric Muller: and then in the future strangers became your dads
42:34 | (New member) CantDood: you got to see the aquarium that sounds like a win
42:37 | (New member) Mister Eko: same here, but in the beach 
42:53 | (New member) max r: what did you eat at the aquarium ?
43:02 | Ark K.: maybe that strsnger is your dad now
43:02 | (New member) Lazm: Facial Blindness gives you many dads.
43:02 | (New member) Rye Mountain: So that is why she has over 2000 dads, she just doesn't remember which one is her real dad.
43:05 | Mr. Gillespie: based
43:08 | stuffed idiot: 2D > 3D BASED
43:08 | (New member) Sol Codguy: The worst dimension
43:11 | (New member) Nero: 3d btfo
43:11 | (New member) Ekusupuroshon: Human bros...
43:11 | (New member) The Flesh Is Weak: □:_sprdo:
43:12 | (New member) BasedBug: Hello, based department?
43:12 | Sheep: 2D!
43:13 | (New member) The Pope: 3DPD eughhhh
43:13 | (New member) Mechanized Doge: ?!
43:13 | (New member) Zhnigo: understandable
43:14 | WhiteWish DY: based
43:15 | (New member) CantDood: 3DPD?
43:17 | (New member) クラガリ葉月: 3DPD BTFO
43:18 | Eric Muller: relateable
43:18 | (New member) Hanabi: 3DPD BTFO
43:19 | (New member) LoneRanger25: □ :_bea:
43:20 | (New member) 77Yuja_: basado 2d enjoyed
43:20 | (New member) Firstname Lastname: 3DPD
43:21 | (New member) Lazm: 2D >>>>>> 3D
43:23 | (New member) Kyle: □
43:24 | (New member) imalittle cupcake: Haruhi?
43:26 | Question Box: CUTE AND FUNNY BEAR GET KIDNAPPED!!!!UUOOOOOOOOOOOOOOOOOOHH😭😭😭😭😭
43:27 | (New member) Fake Name: B A S E D
43:28 | (New member) anonEDM: 3DPD BTFO
43:30 | (New member) Matthew: 2D > 3D
43:34 | D3bugged: 2d is all you need
43:34 | No Body: that's our daughter!
43:35 | (New member) Zyadarya: 2D>3D
43:36 | illogikal: based af
43:39 | (New member) Noon C.: what about beatani 3D though?
43:42 | (New member) CommanderMichael: Where is the □ Department?
43:44 | (New member) Lazm: □□□
43:44 | (New member) Mechanized Doge: 3D家族ほしくないのか。。。？
43:47 | centersolace: i want that pillow
43:51 | (New member) ThatVidyaGuy: □
43:52 | (New member) RBZE7: based
43:53 | (New member) Canna: 2D is nice yah but what about 1D?
43:56 | (New member) Cave Johnson: MY BEAR
43:58 | (New member) Mastigos Wilkins: 2d is always greater than 3d
44:01 | (New member) RBZE7: □
44:03 | (New member) Steven Frati: This is why our daughter thinks we are all dad, mom, sister, brother.
44:10 | (New member) Ekusupuroshon: Us we're family right?
44:11 | SpaceTalon: 1D BEAR LETS GO
44:15 | (New member) BasedBug: 📱 The □ Department is calling, do you pick uo?
44:17 | (New member) Mechanized Doge: 実際の家族、すまん日本語ほとんど忘れました！
44:21 | stuffed idiot: big 2D family
44:22 | (New member) The Pope: I have a second family in VR Kanojo
44:26 | (New member) Mister Eko: 4D bros...
44:27 | (New member) LoneRanger25: If we only show up as chat, are we 2D or 1D?
44:42 | (New member) 77Yuja_: I cannot become 2d...
44:47 | (New member) Noon C.: chat is 2d. So chat is□
44:54 | (New member) The Pope: 4D = 3D + Smell
45:02 | (New member) RBZE7: I want to be 4D
45:05 | (New member) Moeniki: 4D is on the internet
45:11 | Sheep: doraemon?
45:17 | (New member) CantDood: woah
45:17 | BearintheWoods: Imagine the smell 😩
45:18 | (New member) Stray Wolf: 4D is time 
45:18 | VerticalCloud: ah, doraemon
45:21 | No Body: conceptualize the smell
45:27 | (New member) Mister Eko: yes
45:27 | (Verified, Moderator) Streamlabs: Z just tipped $2.00 dayo!
45:29 | (New member) max r: I just kjnow the doraemon theme songs...
45:33 | (New member) Sneed Feed: Nobita kun is literally me
45:34 | (New member) Moeniki: I've heard of Doraemon
45:35 | (New member) Tachi: Yah
45:35 | Mags Durandal: The fourth dimension is smell
45:36 | (New member) anonEDM: yes Doraemon's 4d pocket
45:37 | (New member) Ekusupuroshon: I didn't remember that
45:38 | (New member) Theblekedet: my childhood anime
45:40 | Bazaru Z: RFA 4D stream when?
45:41 | (New member) Mechanized Doge: "Spy Kids 4D movie" that came out in 2011 globally including Japan
45:42 | (New member) Moeniki: Why does Doraemon have no ears?
45:43 | Sheep: yes I know it, I watched when I was a kid
45:49 | Herbie Cucumber: if you stop taking your meds, you'll unlock 5D
45:57 | (New member) LassesAffar: the smell of beatanis 4D pocket 😭
45:58 | (New member) Lazm: 👩🥩 💓:_sprdo:
46:00 | (New member) Ekusupuroshon: Nobita was weak...
46:07 | (New member) Theblekedet: kek
46:08 | No Body: oof
46:08 | (New member) Sneed Feed: lmao
46:09 | stuffed idiot: MAULED
46:11 | Random 海外ニキ: Executed with impunity
46:12 | (New member) Lamb San: btfo
46:12 | (New member) Fake Name: OUCH
46:14 | (New member) Theblekedet: worse than nobita
46:19 | (New member) クラガリ葉月: 失礼
46:22 | (New member) Mister Eko: Doraemooooooooooooooon they are being mean again😭
46:27 | (New member) Sneed Feed: ...
46:32 | stuffed idiot: RIP in peace dad...
46:35 | (New member) Mister Eko: I like Nobita...
46:35 | (New member) RBZE7: it begins....
46:39 | No Body: he's already dead, stop it...
46:39 | (New member) Ekusupuroshon: Nobita was a crybaby for all I can remember
46:41 | Sheep: i'm a neet
46:44 | knull: Cant beat nobota
46:44 | (New member) Cave Johnson: dad is dead
46:47 | (New member) 77Yuja_: I am a professional stay at home dad
46:48 | (New member) Firstname Lastname: ...
46:52 | (New member) Zhnigo: i can roll my tongue into a tube
46:52 | (New member) Matthew: Being a neet
46:53 | (New member) Tachi: I can.. uh.. draw? and uhh 
46:55 | (New member) Hikimouto: hand reps
46:55 | (New member) クラガリ葉月: Sophistry.
46:55 | (New member) LoneRanger25: I can type really fast
46:55 | stuffed idiot: I draw!
46:56 | (New member) Canna: Beekeeper?
46:56 | Herbie Cucumber: I'm really good at hand reps
46:57 | (New member) Nanashi: crying
46:57 | (New member) Tianfang's Adventures: uhhh
46:57 | (New member) Nero: I'm good at violence
46:57 | (New member) Ludd: nothing.....
46:59 | (New member) hohoemikuma: irasuto and NEET
47:00 | (New member) Hanabi: I can make donuts I guess?
47:01 | Jarrels: home security
47:02 | Mags Durandal: Cooking
47:02 | (New member) Sneed Feed: sugoi
47:02 | (New member) CantDood: shitposter
47:05 | (New member) Moeniki: My skill is watching cute and funny streams
47:07 | AtomicBanana 55: I'm skilled in staying alive.
47:07 | Lee: Spreadsheet warrior
47:08 | (New member) Ludd: fast hands
47:08 | (New member) Mechanized Doge: I got called at work today.
47:11 | Question Box: I can play trombone and am good at simracing 
47:12 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Information Technology
47:14 | (New member) Steven Frati: Tenured Schizophrenic
47:15 | knull: losing money
47:15 | Mr. Gillespie: bearkeeper
47:17 | (New member) VampirkoO: i do 3D sometimes
47:18 | (New member) Tianfang's Adventures: I talk for a living
47:18 | Fumo Gaming: keeper of bees
47:19 | No Body: I can hurt my thumb and not cry for 5 minutes
47:21 | Theodore Kaczynski: Bee is the little insect that makes honey
47:23 | illogikal: Bea-keeper
47:23 | Börk Börk: ハチミツさん
47:23 | (New member) Firstname Lastname: beakeeper
47:24 | (New member) Noon C.: one who takes care of bees
47:27 | (New member) Canna: Not meme 
47:27 | (New member) Lazm: defense industry engineer
47:27 | (New member) Fake Name: I play the cello and I have a recital this Saturday
47:29 | (New member) Stray Wolf: beekeeper 
47:30 | (New member) Xayn: 養蜂家
47:30 | Theodore Kaczynski: Bee’s sting
47:31 | (New member) Zyadarya: Cooking and baking 
47:31 | (New member) BasedBug: @Question Box Are you me?
47:32 | (New member) Canna: Literally take care of bees 
47:33 | (New member) Ekusupuroshon: BEAkeeper
47:34 | (New member) The Pope: Bears are bee thieves
47:34 | (New member) hohoemikuma: 🐝 
47:36 | (New member) gyroninja: programmer
47:36 | (New member) LoneRanger25: Beakeeper
47:36 | No Body: BEES
47:38 | Herbie Cucumber: 🐝
47:38 | (New member) Lamb San: I'm an electrician
47:40 | AtomicBanana 55: Beekeeper means you take care of bees.
47:43 | (New member) hohoemikuma: bees are real beatani
47:45 | (New member) Mechanized Doge: はちをメンテするお仕事、ハチミツを引き出すお仕事
47:45 | (New member) BasedBug: BASEDkeeper
47:45 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: "The bees! not the bees!!!" Nic Cage
47:46 | Monster hmc: being useless
47:46 | (New member) ThatVidyaGuy: I can brew alcohol. 
47:46 | (New member) Mister Eko: programmer bros...
47:48 | (New member) Hanabi: beekeeper is an actual job, it's those guys in the weird suits that harvest honey from hives
47:50 | (New member) The Flesh Is Weak: I have a garden
47:52 | minus INT [マイナスイント]: Bea Keeper
48:01 | (New member) Sneed Feed: BEAkeeper on the internet!
48:01 | (New member) Moeniki: I can make music 
48:05 | (New member) RBZE7: beekeeper is pretty based imo
48:11 | Eric Muller: bees like clover a lot too
48:11 | (New member) LassesAffar: NEETchads...
48:12 | Herbie Cucumber: bea is already thinking about taking the honey....
48:13 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Yeah IT Gang Gang Rise Up!
48:17 | (New member) hohoemikuma: drawbros...
48:17 | minus INT [マイナスイント]: Customer Service for me
48:23 | (New member) BasedBug: I can ski!
48:31 | (New member) CantDood: bees are cute
48:31 | No Body: Bea in a beesuit when
48:32 | (New member) Verijero: kipah
48:33 | (New member) anonEDM: Apiarist
48:34 | BearintheWoods: Bea going after the honey producers, it tracks
48:42 | (New member) Mechanized Doge: I failed C programming back in 10th grade... 
48:42 | Ark K.: i have no skill 🥲
48:42 | (New member) The Pope: Corner worker bros...
48:42 | (New member) Rye Mountain: Bee keeping is fun, my mother does it
48:46 | (New member) Stray Wolf: I work on insurance... but drawing and 3D is my passion 
48:50 | (New member) Canna: No free samples 
48:54 | stuffed idiot: SSR dad GET!
48:56 | (New member) Rye Mountain: It is often a hobby though
48:59 | (New member) Ekusupuroshon: I'm an economist...
49:06 | (New member) Verijero: yah
49:09 | (New member) Zhnigo: 24 minutes per question
49:14 | (New member) anonEDM: :_yah:
49:16 | (New member) Mechanized Doge: I like this kind of zatsudan
49:16 | (New member) max r: :_yah:
49:16 | (New member) The Pope: :_yah:
49:19 | (New member) Mister Eko: oh no
49:21 | (New member) hohoemikuma: w
49:21 | (New member) Stray Wolf: lol 
49:25 | VerticalCloud: this will be fun
49:25 | (New member) Sneed Feed: oh no
49:26 | (New member) hohoemikuma: :_kita: 
49:26 | (New member) gyroninja: story time
49:27 | (New member) Moeniki: k草
49:27 | (New member) LoneRanger25: :_yah:
49:28 | (New member) anonEDM: lol
49:28 | (New member) Tachi: :_kita:
49:29 | No Body: skip?
49:29 | (New member) CantDood: :_kita:
49:29 | (New member) クラガリ葉月: 森
49:35 | (New member) LoneRanger25: 草
49:35 | (New member) The Flesh Is Weak: :_kita:
49:37 | (New member) Moeniki: :_kita:
49:39 | (New member) The Pope: "I have a bunch of things that piss me off" big grass
49:42 | (New member) RBZE7: y-yabai... t.EOP
49:42 | Sheep: lol
49:42 | (New member) Sneed Feed: KEK
49:44 | (New member) Lamb San: :_kita::_kita::_kita:
49:44 | (New member) Theblekedet: :_kita::_kita::_kita:
49:48 | (New member) LoneRanger25: :_kita:
49:49 | stuffed idiot: IKZ
49:51 | (New member) Noon C.: oh nice:_kita:
49:51 | (New member) BasedBug: Well, one time you tried to create us in CHKN
49:54 | stuffed idiot: angry bear
49:55 | (New member) Margrave: :_kita:
49:56 | minus INT [マイナスイント]: Daughter rages a lot? Based.
49:56 | (New member) Mayor Martin: :_kita:
49:59 | Question Box: all on 2chan
50:00 | Sheep: tell us the worst one
50:02 | (New member) Theblekedet: Bearant
50:02 | No Body: uh oh they are probably about us...
50:03 | (New member) Ludd: bea telling a story of being pissed off at kusodad
50:09 | (New member) ThatVidyaGuy: :_kita:
50:11 | (New member) Ekusupuroshon: That time when Chihiro pushed you to the internet
50:12 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: When Dad does stupid thing. . .
50:15 | ChefHART: angry kuma..
50:15 | (New member) Stray Wolf: what grinds your gears bear? 
50:21 | (New member) Mister Eko: the lore
50:26 | (New member) LoneRanger25: Were you pissed when you were trapped in XP Hill?
50:34 | (New member) Verijero: everytime she reads our shitposting...
50:38 | (New member) クラガリ葉月: Do bears go to high school?
50:40 | (New member) The Flesh Is Weak: that time Susan tried to off (You)
50:43 | (New member) CommanderMichael: beatani, play jump king
50:47 | Jarrels: roll for bear lore
50:49 | (New member) Stray Wolf: "when I was a high schooler..."
50:54 | (New member) Mister Eko: doing your homework is important
50:54 | (New member) Mechanized Doge: Wow she's just like me back in highschool! Poggers!
50:58 | (New member) Megiddo: based
50:58 | (New member) Zhnigo: □
50:59 | (New member) BasedBug: Based, homework is for chumps
51:00 | Sheep: relatable
51:00 | (New member) Rye Mountain: Based
51:01 | (New member) LoneRanger25: Slacker bea...
51:02 | Ark K.: comrade
51:02 | (New member) Lazm: !!!!!
51:02 | (New member) The Pope: Urabanchou bear...
51:03 | (New member) hohoemikuma: high school bear
51:03 | (New member) CantDood: □
51:04 | (New member) Lamb San: □
51:06 | (New member) Sneed Feed: based
51:07 | (New member) Stray Wolf: homework AWAY
51:07 | (New member) Cave Johnson: based
51:07 | (New member) Kofi: homework is for chumps
51:08 | Sheep: yes
51:11 | Lee: Same
51:12 | (New member) anonEDM: □
51:12 | (New member) Matthew: Homework is cringe
51:13 | (New member) Verijero: delinquent bea!
51:13 | (New member) LoneRanger25: □
51:14 | (New member) LassesAffar: □:_sprdo:□
51:15 | No Body: not cool, dude
51:15 | (New member) Hanabi: homework is cringe
51:16 | Question Box: B-B-B-B-BASED
51:16 | (New member) Moeniki: Yanke bea...
51:18 | (New member) Idle Bear: Didn't do homework reps
51:18 | (New member) Mister Eko: bros, is she a delinquent? 
51:20 | (New member) Megiddo: wakaru
51:21 | (New member) クラガリ葉月: カッコいい
51:23 | (New member) Theblekedet: delinquent bear
51:25 | (New member) Fake Name: Doing homework is cringe
51:25 | (New member) CommanderMichael: "homework sucks!" -beatani :_sprdo:
51:26 | Ark K.: oh homework
