-3:18 | (New member) LassesAffar: 30????
1:28:27 | (New member) ThePlatinumCan: Boooo
1:28:27 | (New member) nona: But 99% of us are female?
1:28:33 | (New member) ZVN: How cringe, not actually eating panties for breakfast. I'm so disappointed in this dad.
1:28:33 | (New member) ThatVidyaGuy: couldn't even get real pantsu
1:28:38 | (New member) Theblekedet: rustic?
1:28:38 | MiiMuu: no meds = seeing pantsu?
1:28:40 | (New member) Einaer: Bananas probably photoshopped too
1:28:43 | Jor Leifur: Plastic breakfast?
1:28:45 | (New member) max r: plastic breakfast !
1:28:49 | Mags Durandal: Exposed
1:28:52 | (New member) gyroninja: plastic?
1:28:52 | (New member) Mister Eko: COOKIE BROS
1:28:53 | (New member) BasedBug: Wow
1:28:54 | (New member) ユーネ: ...
1:28:54 | (New member) Shippo: nice
1:28:56 | (New member) Zia: Plastic yummy
1:28:57 | (New member) Zhnigo: based slav dad
1:28:57 | (New member) The Flesh Is Weak: ????
1:28:58 | SpaceTalon: rustic yet classy 
1:29:00 | (New member) BasedBug: Is that tea? Or beer?
1:29:00 | Denied: ???
1:29:01 | (New member) ThePlatinumCan: Poor Bearbro...
1:29:01 | Sheep: grey breakfast
1:29:01 | Jor Leifur: Cookie and bear?
1:29:01 | (New member) Luginov: s-sugoi
1:29:01 | (New member) Margrave: What is this?
1:29:02 | (New member) Ludd: Rustic!
1:29:02 | (New member) Firstname Lastname: what
1:29:04 | Jor Leifur: beer?
1:29:04 | (New member) Voltage: is the table real even?
1:29:06 | (New member) No Body: ?hah?
1:29:07 | (New member) ZVN: Biscuit and piss
1:29:08 | (New member) Yamoyashi: you live like this?
1:29:09 | (New member) david johnston: macaroon?
1:29:09 | (New member) Margrave: Apple cider?
1:29:10 | (New member) Tachi: :_sprdo:
1:29:12 | (New member) Stray Wolf: Yummy
1:29:13 | Mags Durandal: Scone and tea?
1:29:14 | (New member) Antonio Badilla: cider?
1:29:14 | (New member) Sleep: Apricot and tea?
1:29:14 | Alexander Holzer: ...apple?
1:29:15 | (New member) LassesAffar: Vtuber pee
1:29:15 | (New member) Lodowa Wrozka: kompot?
1:29:16 | (New member) BasedBug: Do EU bros really?
1:29:17 | (New member) Moeniki: seems like a decent light breakfast
1:29:17 | (New member) Raziel: ringo uooh
1:29:20 | pakkanen: it might look like apple juice, but it's something warmer
1:29:21 | (New member) ユーネ: :_listener:
1:29:27 | (New member) CantDood: ehhh it works
1:29:29 | (New member) ThatVidyaGuy: russian fruit juice
1:29:30 | (New member) max r: lol
1:29:31 | Alexander Holzer: This is a feast for greys
1:29:32 | Dest: seems like tea with bread
1:29:41 | (New member) Ekusupuroshon: stick dad...
1:29:46 | yes: skeleton dad
1:29:49 | sleepy: What cake?
1:29:56 | (New member) Voltage: fresh from the coke piss bottle, just how i like it
1:30:01 | (New member) BasedBug: I'm sure the dad has a big lunch and big dinner
1:30:01 | SpaceTalon: kompot is very popular in Slavic countries 
1:30:02 | DZ VW: no black bread
1:30:04 | (New member) ユーネ: :_listener::_listener::_listener:
1:30:09 | (New member) CommanderMichael: >ant meal
1:30:10 | (New member) Ignatius: Welcome to For My Family!
1:30:11 | (New member) Idle Bear: A meal for ant dad
1:30:13 | (New member) Rye Mountain: Making a meal for the local ants I see
1:30:13 | (New member) max r: architect bros pls help him
1:30:14 | (New member) No Body: remote skeleton kid...
1:30:15 | (New member) WizJR W: What is this? A breakfast for ants?
1:30:25 | (New member) BasedBug: AntDads..
1:30:25 | (New member) Ekusupuroshon: ant-chama ..
1:30:25 | DZ VW: no slavic black bread + kvass breakfast
1:30:25 | (New member) Stray Wolf: antman
1:30:29 | stuffed idiot: do antbros really?
1:30:31 | Alexander Holzer: He's a slav, have mercy
1:30:32 | (New member) Zeng: aunts, not dads
1:30:32 | (New member) ユーネ: >eating breakfast
1:30:48 | (New member) Yamoyashi: THAT DOWNGRADE
1:30:48 | (New member) Mister Eko: is that salmon?
1:30:49 | (New member) BasedBug: Fancy
1:30:49 | (New member) max r: I remember this guy
1:30:50 | (New member) Moeniki: fancy
1:30:52 | (New member) Mister Eko: looks great
1:30:54 | Alexander Holzer: Tasty
1:30:54 | (New member) Rye Mountain: My wallet hurts just by looking at this
1:30:55 | SpaceTalon: ahh fresh salmon
1:30:56 | (New member) Theblekedet: damn
1:30:58 | The Patron Simp: Actual food? unacceptable 
1:30:59 | (New member) The Flesh Is Weak: expensive:_sprdo:
1:31:00 | Sheep: salivating rn
1:31:01 | Börk Börk: cucumber
1:31:02 | Denied: tasty
1:31:02 | (New member) Zia: Feta cheese
1:31:02 | (New member) ThatVidyaGuy: Tempting a bear with salmon? instant win
1:31:04 | anon: oil balon asagohan...
1:31:04 | sleepy: Looks decent 10/10
1:31:04 | (New member) Margrave: Tomato....
1:31:05 | (New member) Lazm: Oil Balon breakfast lets go
1:31:07 | (New member) Ekusupuroshon: He eats this everyday
1:31:07 | (New member) Ignatius: Keto?
1:31:07 | deslar`ris: cucumber or pickle?
1:31:08 | (New member) Antonio Badilla: California?
1:31:09 | (New member) Theblekedet: expensible
1:31:10 | (New member) Peer: exbensive :_sprdo:
1:31:11 | Dest: Seems expensive
1:31:13 | Fridge Fridge: Farmed salmon...
1:31:14 | DZ VW: rich man's breakfast
1:31:15 | (New member) Suukotto Funsha: that looks pretty good
1:31:15 | (New member) ThePlatinumCan: Looks really tasty
1:31:16 | (New member) Mister Eko: oil balon is flexing...
1:31:18 | (New member) BasedBug: He makes this every day!
1:31:19 | (New member) Voltage: thats a families lunch
1:31:20 | (New member) No Body: wheres the lamb sauce?
1:31:23 | (New member) OverMagnet: Guava?
1:31:24 | Lichzim The Great: Happy birthday :)
1:31:28 | (New member) The Flesh Is Weak: expensible:_listener:
1:31:29 | Cringe Broker: wow that's a lot
1:31:34 | (New member) Mister Eko: this guy
1:31:34 | (New member) max r: he said it was a simple breakfast:_kita::_kita::_kita:
1:31:38 | (New member) Ekusupuroshon: rice?
1:31:38 | Denied: oil balon spare some pls?
1:31:41 | (New member) CantDood: oil baron dad...
1:31:45 | (New member) Jackku Chan: Hmm...
1:31:46 | (New member) Voltage: this has to be lunch
1:31:46 | SpaceTalon: poemu?
1:31:48 | (New member) Lazm: 🛢Oil Balon dads at the breakfast table🛢
1:31:51 | (New member) Theblekedet: lmao
1:31:53 | (New member) BasedBug: This is a fucking culinary journey
1:31:54 | (New member) CommanderMichael: brunch?
1:31:56 | (New member) The Flesh Is Weak: :_sprdo:
1:32:00 | (New member) Jackku Chan: Salmon doesn't look too fresh... 
1:32:03 | (New member) Ludd: Oil balon breakfast....
1:32:05 | (New member) Zhnigo: ABOGADO :_sprdo:
1:32:06 | (New member) Raziel: poetic
1:32:06 | (New member) Zia: Hey...
1:32:10 | (New member) Lazm: Oil Balon ruined it with a cringy poem
1:32:11 | (New member) Jackku Chan: 2/10 pointy knees
1:32:12 | (New member) Zia: You said we had to describe
1:32:14 | (New member) OverMagnet: The Cultured Dad
1:32:17 | (New member) Ekusupuroshon: Only the french can be this cringe...
1:32:27 | The Patron Simp: Farmed salmon makes me very sad, other than that I'd give it an 8/10
1:32:28 | (New member) Mechanized Doge: Hey I want freaking sashimi for breakfast too...
1:32:29 | (New member) Nasty Yukari: """""cool"""""
1:32:30 | (New member) Voltage: poem to describe breakfast LETS FUCKING GOO
1:32:34 | (New member) No Body: oh its avocado and salman kek
1:32:39 | Just a Hobo Passing By: 😎
1:32:43 | Alexander Holzer: ???
1:32:44 | (New member) The Flesh Is Weak: cool:_sprdo:subboi:_sprdo:
1:32:45 | (New member) BasedBug: Sasuga.. balon..
1:32:48 | (New member) Lazm: Sasuga cultured oil balon dad
1:32:49 | sleepy: sasuguh..
1:32:50 | Denied: sasuga oil balon
1:32:53 | (New member) max r: sasuga
1:33:02 | (New member) Stray Wolf: "cool"
1:33:03 | (New member) Firstname Lastname: :_listener:
1:33:04 | (New member) Zhnigo: †SimpleAndTasty†
1:33:07 | SpaceTalon: oil balon IKNEEL
1:33:10 | stuffed idiot: s-sasuga
1:33:10 | (New member) max r: :_listener::_listener::_listener:excuse me ??????
1:33:12 | (New member) ThePlatinumCan: :_listener:
1:33:13 | (New member) Lazm: UUUOOOOHHHHHH
1:33:15 | (New member) Mechanized Doge: 羨ましい！！！リスナーヘイト！！
1:33:15 | (New member) Margrave: :_mug::_listener:
1:33:16 | (New member) Ekusupuroshon: "cool" more like cringe...
1:33:16 | (New member) Tianfang's Adventures: i kneel
1:33:16 | (New member) Zia: oof
1:33:20 | (New member) BasedBug: I couldn't afford this everyday anyways
1:33:22 | (New member) A A: :_listener:
1:33:23 | (New member) Voltage: :_listener::_listener::_listener:oilbalon:_sprdo::_love:
1:33:24 | (New member) gyroninja: :_listener:
1:33:25 | (New member) Einaer: He's getting ahead in the oji-san contest
1:33:25 | (New member) Lazm: UUUUUOOOOOOOHHHHHHH Surprise ASMR
1:33:26 | (New member) Stray Wolf: :_listener::_listener::_listener:
1:33:26 | (New member) Tuffee: :_listener:
1:33:28 | (New member) Peer: :_listener::_away:
1:33:30 | (New member) Mechanized Doge: オイルバロン:_away:
1:33:32 | sleepy: "cool" and the blocked 
1:33:33 | (New member) No Body: ikemen dad...
1:33:33 | (New member) Canna: :_listener:
1:33:35 | (New member) OverMagnet: 😎😎😎
1:33:41 | (New member) ZVN: Groomer Oji-san....
1:33:48 | Jor Leifur: ikemen oil baron
1:33:50 | (New member) Zhnigo: was this for breakfast contest or groomer contest
1:33:53 | (New member) XenMaster220: He's gonna GROOOOOOOM:_uooooohh::_uooooohh::_uooooohh:
1:33:55 | (New member) WizJR W: how dandy
1:34:07 | (New member) max r: :_uooooohh:
1:34:12 | (New member) Lazm: Thank Yo-hHAHAHA
1:34:13 | (New member) BasedBug: HealthyDad
1:34:16 | (New member) Rye Mountain: This looks nice
1:34:18 | (New member) Ekusupuroshon: that leak...
1:34:20 | SpaceTalon: smol and cute
1:34:22 | (New member) Zhnigo: based easter egg
1:34:26 | (New member) BasedBug: This is a cute little breakfast
1:34:27 | (New member) Ignatius: Cabbage?
1:34:29 | (New member) ThePlatinumCan: Pretty nice
1:34:29 | (New member) Voltage: :_uooooohh::_uooooohh::_uooooohh:
1:34:30 | (New member) max r: you just eat the Scallion?
1:34:31 | sleepy: Grey version of the previous one
1:34:32 | (New member) BasedBug: A breakfast for moms
1:34:32 | (New member) The Flesh Is Weak: :_yah::_sprdo:
1:34:34 | Alexander Holzer: cute
1:34:35 | (New member) OverMagnet: 🎩
1:34:41 | (New member) CantDood: looks great
1:34:41 | (New member) WizJR W: no poem with this one?
1:34:41 | (New member) Sleep: the downgrade is funny
1:34:47 | (New member) Tianfang's Adventures: :_sprdo:
1:34:49 | (New member) Firstname Lastname: a whole scallion...
1:34:50 | (New member) BasedBug: It's too healthy for me
1:34:50 | Sheep: tomatoes away....
1:34:53 | (New member) Mechanized Doge: >too simple
1:34:57 | Denied: grey version..
1:35:04 | (New member) Raziel: forgot the ranch
1:35:11 | (New member) Mister Eko: the sausage seems a little too much
1:35:14 | (New member) max r: LOL nooo
1:35:14 | (New member) No Body: id throw that in a mixer and mix it with scrambled eggs kek
1:35:15 | (New member) Stray Wolf: simple is best
1:35:15 | eeo: that's just raw ingredients
1:35:18 | (New member) The Flesh Is Weak: upgrade from last one
1:35:36 | (New member) Mechanized Doge: ほう
1:35:38 | (New member) Firstname Lastname: @No Body :_pain:
1:35:48 | stuffed idiot: no poem? ngmi...
1:36:03 | (New member) Mister Eko: wait
1:36:04 | (New member) Mister Eko: why
1:36:06 | (New member) Rye Mountain: Champagne for breakfast?
1:36:09 | (New member) Ignatius: Champagne for breakfast?
1:36:09 | (New member) BasedBug: Champagne for breakfast? Rich dad
1:36:16 | (New member) Margrave: I saw this on one 
1:36:20 | darukaru: I have concerns about the color and texture of that sausage 
1:36:22 | (New member) Voltage: Russia:_sprdo:
1:36:22 | (New member) Mister Eko: as expected from an oil balon...
1:36:24 | Börk Börk: Don peri for breakfast?
1:36:26 | Denied: oil balon...
1:36:31 | presence is yabai: champagne and lettuce
1:36:33 | (New member) ThePlatinumCan: Do oil barons really?
1:36:37 | (New member) Raziel: What does champagne air taste like?
1:36:45 | (New member) Ignatius: I guess if you save on food, you can spend on booze
1:36:50 | (New member) Moeniki: cherry tomatoes:_away:
1:36:58 | (New member) Zia: Wow
1:36:58 | (New member) BasedBug: This is really cute!
1:37:02 | (New member) Mister Eko: 10/10 presentation
1:37:04 | (New member) Zia: nice lightning
1:37:05 | Sheep: healthy
1:37:05 | (New member) TheTarkus: argentina bro
1:37:08 | (New member) BasedBug: I love this, wow
1:37:10 | (New member) Antonio Badilla: ARS bros
1:37:12 | Jor Leifur: Looks like a nice bear treat
1:37:14 | (New member) Tianfang's Adventures: Food to lure kuma 
1:37:14 | (New member) Margrave: 🤔
1:37:18 | (New member) Shippo: nice pic
1:37:19 | (New member) Rye Mountain: Yerba mate is great
1:37:19 | (New member) Theblekedet: nice
1:37:19 | (New member) Mister Eko: is it honey?
1:37:20 | SpaceTalon: medieval breakfast /10 
1:37:22 | (New member) Voltage: POPTARTS FROM MY MOM LETS FUXCKING GOOOO
1:37:26 | (New member) ThePlatinumCan: Pretty pic
1:37:34 | (New member) TheTarkus: Yerba mate LOVE
1:37:35 | (New member) WizJR W: poem dads!
1:37:36 | (New member) max r: food to attract bears
1:37:36 | (New member) The Flesh Is Weak: another poet dad:_sprdo:
1:37:40 | furank: 🧉
1:37:41 | Jor Leifur: oh right, that's argentinean tea, right?
1:37:53 | (New member) ThatVidyaGuy: medieval peasant dad 
1:37:54 | (New member) No Body: is that applesauce on crackers?
1:38:00 | (New member) Mister Eko: argentina?
1:38:01 | (New member) Alaor B: Mate!
1:38:05 | Cringe Broker: based mate-dad
1:38:11 | (New member) BasedBug: I envy wherever this dad lives
1:38:13 | furank: chimarrão
1:38:16 | (New member) Yamoyashi: Gween tea
1:38:18 | WeeabooSlime: is that kraft singles on a pop tart
1:38:23 | (New member) Ekusupuroshon: Argentina is so fucked that it reverted to the middle age...
1:38:23 | (New member) Rye Mountain: It's not actually related to tea but it is really nice. I recommend everyone to try it. It is cheap also.
1:38:27 | (New member) CantDood: I'm sure it's way more bitter tho
1:38:30 | (New member) The Flesh Is Weak: :_sprdo:gaggoi
1:38:36 | (New member) Voltage: big boi:_sprdo:
1:38:37 | Theodore Kaczynski: He has good tea, but he's still Argentinian
1:38:40 | (New member) Mister Eko: loser kid...
1:38:41 | (New member) Nasty Yukari: 10/10 presentation
1:38:45 | (New member) Antonio Badilla: BasedBug no you really don't lol
1:38:45 | (New member) WizJR W: Actually yeah that does look like poptarts
1:38:51 | (New member) BasedBug: Hani..
1:38:52 | (New member) BRAD AEON 720: Good morning
1:38:54 | (New member) Rye Mountain: I feel yerba mate does not upset my stomach no matter how much I drink
1:39:00 | (New member) Tianfang's Adventures: :_love:
1:39:05 | (New member) Alaor B: This looks like the Argentina way of making mate
1:39:10 | (New member) The Flesh Is Weak: sugoii:_sprdo:gaggoi:_sprdo:
1:39:16 | (New member) Mister Eko: the sunlight is part of the breakfast
1:39:21 | Denied: the dads are too cool
1:39:28 | (New member) Einaer: Blind dad
1:39:28 | (New member) ThePlatinumCan: Romantic breakfast :_love:
1:39:31 | Sheep: the sun gives life
1:39:34 | (New member) No Body: ah yes i love to get blinded by the sun in the morning
1:39:36 | (New member) Zia: Sunlight for Vitamine D
1:39:38 | (New member) Tachi: :_listener:
1:39:43 | Börk Börk: Photosinthesyse for breakfast
1:39:46 | (New member) WizJR W: Cool guys like sun and go outside
1:39:47 | (New member) max r: great
1:39:47 | *₹40.00* BRAD AEON 720: Happy Birthday, and congrats on 3K subscribers
1:40:04 | (New member) Mister Eko: remote kid...
1:40:05 | (New member) nona: Sunlight is cringe
1:40:05 | (New member) Rye Mountain: Remote kid CAME
1:40:09 | (New member) Zhnigo: remote kid... i kneel...
1:40:09 | (New member) Zia: Beatani forgot what sunlight is...
1:40:10 | (New member) Kofi: remote kid!
1:40:12 | (New member) Alaor B: sunlight is necessary for your vitamin D intake
1:40:15 | (Verified, Moderator) Streamlabs: RADEON360 just superchatted ₹40.00!
1:40:17 | (New member) Voltage: radeon i kneelllllll
1:40:18 | (New member) Momiji Channel: :_kita:
1:40:21 | (New member) BRAD AEON 720: I'm awake
1:40:22 | (New member) Raziel: Based
1:40:25 | (New member) Alaor B: make sure to sunbath daily Beatani
1:40:25 | (New member) Rye Mountain: He donated his breakfast money
1:40:26 | (New member) Theblekedet: Don't waste your allowance remote kids
1:40:27 | (New member) Shippo: huh
1:40:28 | (New member) BasedBug: Even remotekids can be basesd
1:40:28 | (New member) Mechanized Doge: ＞本物のインド人
1:40:28 | (New member) The Flesh Is Weak: there goes lunch money:_sprdo:
1:40:28 | (New member) BRAD AEON 720: ok
1:40:28 | (New member) Nasty Yukari: Remote kid I kneel
1:40:28 | sleepy: kek
1:40:30 | (New member) Lodowa Wrozka: 😆
1:40:38 | stuffed idiot: remote kid I KNEEL
1:40:38 | (New member) max r: lol
1:40:43 | (New member) ThePlatinumCan: 草
1:40:46 | (New member) LassesAffar: 50 yen :_sprdo:
1:40:48 | (New member) nona: Save your rupees! Do your homework reps!
1:40:51 | SpaceTalon: remote kid... I KNEEL
1:40:52 | (New member) Mechanized Doge: ナイススパチャイ草
1:40:52 | (New member) XenMaster220: lol
1:40:55 | BakedBanana: oh
1:40:56 | (New member) Suukotto Funsha: Based Remotekids
1:40:57 | (New member) BasedBug: CUTE
1:40:59 | (New member) Zia: Pretty
1:41:00 | SpaceTalon: cute/10
1:41:00 | (New member) Mister Eko: CUTE
1:41:00 | (New member) Megiddo: that's like 50 cents right?
1:41:03 | (New member) Mastigos Wilkins: wait
1:41:06 | (New member) darukaru: Welcome to For My Family!
1:41:06 | (New member) ThePlatinumCan: Pretty
1:41:06 | (New member) Tianfang's Adventures: :_sprdo: cutesz
1:41:06 | (New member) The Flesh Is Weak: :_love:
1:41:06 | (New member) Mechanized Doge: ヘルシー！！
1:41:06 | (New member) Mister Eko: 10/10
1:41:07 | (New member) Einaer: Nice plate
1:41:09 | (New member) Mastigos Wilkins: those things dont mix
1:41:09 | (New member) Theblekedet: cute
1:41:10 | (New member) CantDood: Technicolor breakfast
1:41:12 | Denied: cute
1:41:13 | (New member) TheTarkus: GUTE :_sprdo:
1:41:14 | (New member) Zhnigo: GAWAII :_sprdo:
1:41:16 | (New member) nona: Nice egg
1:41:17 | (New member) BasedBug: That egg looks really nice
1:41:20 | (New member) Nasty Yukari: Wow that's a cute plate
1:41:24 | (New member) Voltage: cute/10:_love::_love::_love:
1:41:25 | Jor Leifur: It looks like something sweet?
1:41:25 | anon: biscuit?
1:41:28 | stuffed idiot: that's looking pretty good
1:41:28 | (New member) Margrave: Very pretty but tomatoes go to hell! 
1:41:29 | (New member) Antonio Badilla: pancakes?
1:41:32 | (New member) Mastigos Wilkins: >sweet and sour
1:41:32 | WeeabooSlime: English "cuisine"
1:41:34 | (New member) Mastigos Wilkins: disgusting'
1:41:34 | (New member) Ignatius: :_sprdo: surprisingly good presentation
1:41:39 | (New member) Herbie Cucumber: biscuit with honey
1:41:45 | (New member) ThatVidyaGuy: Thats a nice breakfast
1:41:45 | Börk Börk: That's not strawberry those are raspberries
1:41:46 | (New member) WizJR W: standard american breakfast??
1:41:46 | (New member) Firstname Lastname: sugoi
1:41:47 | (New member) Rye Mountain: BASED
1:41:48 | Sheep: wow
1:41:48 | (New member) Zhnigo: based beekeper dad
1:41:49 | (New member) Margrave: Bee keeper dad...
1:41:49 | eeo: woah
1:41:52 | (New member) BasedBug: BeeDad, I kneel
1:41:52 | SpaceTalon: BASED
1:41:55 | (New member) Megiddo: beekeeper dad
1:41:56 | (New member) Kofi: based beekeeper
1:41:56 | (New member) Shippo: cute
1:41:56 | Denied: beekeeper dad
1:41:57 | (New member) ThePlatinumCan: Raspberry, noice
1:41:57 | yes: beekeeper dad
1:42:00 | (New member) Margrave: Jerry..
1:42:00 | (New member) TheTarkus: beekeepers are based
1:42:01 | (New member) No Body: oh beekeeper dad!
1:42:01 | (New member) Firstname Lastname: Bea Hives
1:42:02 | stuffed idiot: based beekeeper
1:42:03 | (New member) Tianfang's Adventures: beekeeper based
1:42:03 | SpaceTalon: chihiro fears the BEE FARMER
1:42:04 | Jor Leifur: B-Dad, I kneel
1:42:05 | (New member) Sleep: dad saving the bees
1:42:05 | (New member) Theblekedet: I remember beekeeperdad
1:42:07 | cycochaos2: nice, honey bee LOVE
1:42:08 | Punished Boss: I want food...
1:42:12 | (New member) Alaor B: natural honey tastes great
1:42:16 | (New member) The Flesh Is Weak: expensible*
1:42:22 | (New member) Voltage: BEEDAD LETS GOOOO:_love::_love::_love:
1:42:25 | WeeabooSlime: buy jar of honey for beatani
1:42:31 | (New member) BasedBug: That looks really tasty
1:42:33 | (New member) Mister Eko: all the dads are so talent 
1:42:36 | (New member) No Body: you gotta eat mike honey though
1:42:38 | SpaceTalon: tea with honey BASED
1:42:45 | (New member) max r: good American breakfast. I approve
1:42:47 | (New member) TheTarkus: no honey for the bear :_uooooohh:
1:42:49 | (New member) Canna: :_uooooohh:
1:43:04 | (New member) Mister Eko: the egg is perfect
1:43:10 | (New member) Margrave: Meat is the best 
1:43:14 | (New member) Zhnigo: sosig
1:43:15 | (New member) Voltage: i will milk my chickens for fresh breakfest for beatani....
1:43:16 | Sheep: niceeeee
1:43:16 | (New member) The Flesh Is Weak: fatty time:_sprdo:
1:43:17 | (New member) Rye Mountain: Entering the keto section
1:43:18 | (New member) Peer: based
1:43:19 | (New member) Mechanized Doge: ビッグソーセージ
1:43:21 | (New member) Mister Eko: that looks very good
1:43:21 | SpaceTalon: meat LOVE
1:43:21 | (New member) BasedBug: This looks amazing
1:43:22 | (New member) Suukotto Funsha: meat is delicious
1:43:22 | Denied: saseg
1:43:22 | (New member) max r: kielbasa ??
1:43:22 | (New member) Margrave: All the protein 💪
1:43:24 | (New member) Tianfang's Adventures: meats
1:43:27 | (New member) Alaor B: pepperoni
1:43:28 | (New member) ThePlatinumCan: Niku LOVE
1:43:29 | (New member) No Body: sosig
1:43:29 | (New member) XenMaster220: Looks good.
1:43:30 | Shiroi Fenrir白: sosig hmmmm
1:43:30 | (New member) Mechanized Doge: マックスプロテイン
1:43:31 | (New member) Theblekedet: lots of protein
1:43:33 | (New member) ThatVidyaGuy: good
1:43:35 | (New member) Antonio Badilla: potatoes on the bottom
1:43:36 | (New member) Sleep: fried sausage is nice
1:43:37 | (New member) Tianfang's Adventures: show me the meat! :_love:
1:43:38 | WeeabooSlime: smiley face
1:43:38 | Börk Börk: sausage legend
1:43:39 | Denied: sasuge 
1:43:41 | (New member) Zhnigo: BEBERONI :_sprdo:
1:43:42 | SpaceTalon: this is 100% kiełbasa
1:43:42 | (New member) Firstname Lastname: The no one?
1:43:43 | cycochaos2: that looks like the kielbasa I'm used to
1:43:44 | yes: Pepeloni...
1:43:44 | (New member) Ekusupuroshon: The no one??
1:43:44 | (New member) Mister Eko: ah, the pepperoni
1:43:47 | (New member) darukaru: The no one?
1:43:48 | (New member) Lodowa Wrozka: kiełbasa
1:43:48 | (New member) Nasty Yukari: Pepperoni or so-seji?
1:43:50 | (New member) Rye Mountain: ear of pizza...
1:43:55 | (New member) BasedBug: So good!
1:43:55 | (New member) Margrave: ☺ face
1:43:56 | (New member) Ignatius: Are those potatoes underneath?
1:44:03 | (New member) Antonio Badilla: under eggs
1:44:04 | Question Box: ah the pepperloni
1:44:05 | (New member) max r: hash browns is hiding LOL
1:44:05 | Jor Leifur: hashbrowns are underneath the eggs
1:44:07 | InubaSHIRI Momiji: underneath
1:44:07 | (New member) The Flesh Is Weak: under eggs
1:44:07 | Sheep: under maybe
1:44:09 | (New member) XenMaster220: It must be under it all.
1:44:10 | cycochaos2: underneath
1:44:11 | (New member) max r: its under the eggs.
1:44:12 | (New member) BasedBug: I didn't see the hashbrowns at first,
1:44:13 | (New member) CommanderMichael: the hash browns are underneath?
1:44:23 | (New member) The Flesh Is Weak: ketchup:_away:
1:44:27 | (New member) max r: @basedbug same.
1:44:29 | Denied: siracha? 
1:44:30 | (New member) TheTarkus: ketchup :_away:
1:44:34 | (New member) Zhnigo: sriracha is type of hot sauce
1:44:37 | (New member) TheTarkus: Sriracha
1:44:42 | (New member) Hikimouto: sriracha?
1:44:42 | (New member) Raziel: Sriracha is based
1:44:52 | (New member) Alaor B: thats very zoomer of him
1:44:53 | (New member) BasedBug: Ohh sriracha, that's good
1:45:11 | (New member) Mister Eko: nani
1:45:14 | (New member) The Flesh Is Weak: groomer:_sprdo:
1:45:14 | (New member) BasedBug: Groomer breakfast?
1:45:15 | (New member) ThatVidyaGuy: groomerchad
1:45:16 | Shiroi Fenrir白: ohno
1:45:17 | Denied: groomer...
1:45:20 | (New member) Antonio Badilla: groomer?
1:45:22 | (New member) Zhnigo: it was a groomer contest all along
1:45:23 | (New member) Rye Mountain: Talent of groomer...
1:45:25 | (New member) Yamoyashi: groomer dad?
1:45:27 | (New member) Firstname Lastname: ?
1:45:27 | (New member) Mister Eko: groomer bros...
1:45:28 | stuffed idiot: groomerchad
1:45:35 | (New member) Luginov: :_yah:
1:45:35 | (New member) Mister Eko: *bgm stops*
1:45:36 | Question Box: zia...
1:45:36 | (New member) ThatVidyaGuy: LMAO
1:45:36 | (New member) Zia: ??
1:45:37 | (New member) ThePlatinumCan: ?????
1:45:37 | (New member) BasedBug: WHAT
1:45:38 | (New member) Margrave: BGM has stopped...
1:45:39 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo::_sprdo:
1:45:40 | (New member) Mechanized Doge: おいおいやめろ
1:45:40 | (New member) Theblekedet: :_yab::_yab::_yab::_yab::_yab::_yab:
1:45:40 | stuffed idiot: EH
1:45:41 | (New member) ThePlatinumCan: :_yab::_yab::_yab:
1:45:41 | (New member) TheTarkus: *music stops*
1:45:41 | Denied: ????????
1:45:41 | (New member) Yamoyashi: you're supposed to let bea groom you dad...
1:45:41 | Hernan: ¿?¿?¿?
1:45:41 | (New member) Firstname Lastname: ?????????????????
1:45:41 | (New member) Herbie Cucumber: ??????
1:45:41 | InubaSHIRI Momiji: *music stops*
1:45:42 | (New member) OverMagnet: シ　ラ　チャ
1:45:42 | (New member) Mastigos Wilkins: :_uooooohh::_uooooohh::_uooooohh::_uooooohh:
1:45:43 | sleepy: ???
1:45:44 | SpaceTalon: ????
1:45:44 | (New member) Yamoyashi: ????
1:45:44 | (New member) Margrave: Oh no..
1:45:45 | (New member) Zhnigo: :_yab: :_yab: :_yab: :_yab:
1:45:45 | Sheep: ??
1:45:45 | (New member) The Flesh Is Weak: :_yab::_yab::_yab::_yab::_yab:
1:45:46 | (New member) Canna: Lmao
1:45:46 | (New member) Einaer: wtf
1:45:47 | (New member) Mechanized Doge: こいつやべーよ
1:45:47 | (New member) Peer: :_sprdo:
1:45:47 | (New member) Mister Eko: oh no
1:45:47 | Cyshio: ??????
1:45:47 | (New member) ZVN: lmfao
1:45:47 | (New member) XenMaster220: :_yab::_yab:
1:45:47 | (New member) Rye Mountain: WHAT
1:45:48 | (New member) Momiji Channel: ???
1:45:48 | (New member) Mechanized Doge: おいいいいいいい
1:45:49 | (New member) Ekusupuroshon: tf??
1:45:49 | (New member) Zia: What?
1:45:50 | (New member) Hanabi: wat
1:45:50 | SpaceTalon: NANI
1:45:50 | (New member) ThatVidyaGuy: :_yab::_yab::_yab::_yab::_yab::_yab::_yab::_yab::_yab::_yab:
1:45:51 | (New member) BasedBug: STOP STOP STOP STOP
1:45:51 | (New member) Antonio Badilla: ?????
1:45:51 | (New member) Firstname Lastname: :_pain::_pain::_pain::_pain::_pain::_pain::_pain::_pain::_pain::_pain:
1:45:51 | (New member) Nasty Yukari: CUTE (male)?
1:45:52 | Denied: ear lick
