-1:34:58 | (New member) ThePlatinumCan: :_sprdo:
1:11:44 | (New member) Ekusupuroshon: money more money!
1:11:45 | (New member) Shippo: she's making it
1:12:05 | (New member) max r: desuwa
1:13:02 | (New member) Rye Mountain: "my wife asked me to buy a steel sword for 3000 pix"
1:13:07 | stuffed idiot: she's beginning to believe
1:13:15 | (New member) Andrew: lmao nice song
1:13:34 | (New member) Herbie Cucumber: what do you think the wife wants the sword for
1:13:38 | (New member) Raziel: gmi
1:13:52 | (New member) BasedBug: When she's not thinking about lolis or making boys pregnant, she's actually pretty good
1:14:15 | (New member) Megiddo: of course, it's a PC game
1:14:21 | (New member) Tuffee: big brained kuma
1:14:32 | Sheep: tensai
1:14:51 | (New member) Ekusupuroshon: Bea...
1:14:54 | (New member) Tachi: 9
1:15:04 | (New member) max r: I am about 28 months pregnant
1:15:04 | (New member) Zia: Seems pretty early still
1:15:10 | Jando はんど: wow
1:15:11 | (New member) Herbie Cucumber: 12
1:15:11 | (New member) anonEDM: 10
1:15:30 | (New member) BasedBug: BEAR
1:15:33 | (New member) Zhnigo: a bear?..
1:15:34 | rev: bear
1:15:35 | (New member) The Flesh Is Weak: bear?
1:15:36 | (New member) LapanNaxela: 200 months
1:15:38 | (New member) Herbie Cucumber: >the iteams are bears
1:15:39 | Question Box: 30 months 
1:15:40 | (New member) The Flesh Is Weak: YAB
1:15:46 | Darthclone2: - 5 months
1:15:48 | (New member) Raziel: It works differently in men
1:15:51 | (New member) Rye Mountain: 1 day
1:15:51 | ciapaty ciapacz: 18 because it's tweens
1:15:55 | Lofiii: 15 months?
1:15:57 | (New member) Tianfang's Adventures: oh my
1:16:08 | (New member) Zia: Men take longer to give birth, maybe?
1:16:32 | (New member) Ekusupuroshon: Men have 30 month pregnancies
1:16:43 | InubaSHIRI Momiji: bea???
1:16:58 | blindfolded056: lol 
1:17:00 | (New member) Canna: At the end of the pregnancy they explode. Rip dads
1:17:01 | (New member) LassesAffar: they need to be boygnant for longer in their boywomb to give boyth because they have less estrogen
1:17:04 | (New member) ThatVidyaGuy: 400 month
1:17:12 | (New member) Raziel: Shota boy prefers big ones
1:17:23 | (New member) Megiddo: g is silent
1:17:26 | (New member) Ekusupuroshon: DOG???
1:17:28 | (New member) BasedBug: Dog AWAY
1:17:31 | (New member) max r: we only like cat here
1:17:32 | (New member) LapanNaxela: lifelong pregnancy
1:17:32 | (New member) Zeng: gnoll HATE
1:17:41 | (New member) Ekusupuroshon: Dog Hate!
1:17:47 | (New member) TWAIN: doggo...
1:17:49 | (New member) Tuffee: guhnolls
1:17:51 | (New member) anonEDM: g is silent
1:17:58 | (New member) Megiddo: gnolls = noles
1:18:11 | (New member) Herbie Cucumber: sweaty bear
1:18:15 | (New member) TWAIN: happy bear
1:18:15 | Sleep: bea literally breathing in all the oxygen right now
1:18:18 | (New member) Ekusupuroshon: Hadaka stream?
1:18:22 | blindfolded056: ノール gnoll
1:18:49 | (New member) anonEDM: 😭
1:18:51 | (New member) Ekusupuroshon: she's sometimes naked...
1:18:52 | TheFlyingWingNut: bare bear
1:18:54 | (New member) Firstname Lastname: l-lewd
1:18:54 | Sheep: nice
1:18:54 | yes: hot
1:18:55 | (New member) Zhnigo: u-uoh
1:18:55 | (New member) The Flesh Is Weak: UOOOOOOOOOOOOOOOH
1:18:55 | stuffed idiot: 😭
1:18:58 | (New member) Zia: o-ok...
1:18:58 | Axiis: based
1:18:59 | (New member) LapanNaxela: :_sprdo:
1:19:01 | (New member) Herbie Cucumber: 😭
1:19:01 | (New member) Tuffee: uoh
1:19:01 | (New member) Canna: :_nukutea:
1:19:03 | (New member) BasedBug: XP Hill doesn't have air conditioning?
1:19:04 | Mizuki Arisu: uoooohh
1:19:06 | (New member) Andrew: UOOOOOOOOOOOOOOOOOOOOOOOOH
1:19:06 | (New member) Nanashi: :elbowcough:
1:19:09 | (New member) Zhnigo: Under her clothes, bea is naked...
1:19:10 | (New member) Ekusupuroshon: water
1:19:11 | (New member) TWAIN: bear skin...
1:19:12 | (New member) Zed: 😭
1:19:13 | (New member) Shippo: can't believe bea is sometimes naked bros
1:19:15 | (New member) Megiddo: 25 celsius is hot?
1:19:19 | (New member) Raziel: :_handreps:
1:19:21 | Sheep: 25 is not that how tbh
1:19:24 | (New member) Rye Mountain: It gets hot in polar bear fur
1:19:25 | (New member) Ekusupuroshon: Nop
1:19:26 | (New member) Shippo: no
1:19:26 | lae: yes
1:19:26 | (New member) Firstname Lastname: ...........
1:19:30 | stuffed idiot: nope
1:19:32 | blindfolded056: No...
1:19:33 | (New member) ThatVidyaGuy: No
1:19:33 | (New member) RussianAnimeBot: no
1:19:34 | (New member) Canna: There is a skeleton living inside of Beatani 
1:19:34 | (New member) Zed: no
1:19:34 | (New member) Raziel: sometimes
1:19:35 | (New member) Zia: I refuse to answer
1:19:35 | (New member) Luginov: nope
1:19:36 | (New member) Zhnigo: prefer not to answer
1:19:37 | (New member) Tianfang's Adventures: That's personal 😭 
1:19:37 | (New member) BasedBug: Sleeping naked is incredibly comfortable
1:19:37 | Cyshio: No
1:19:37 | (New member) Nanashi: always
1:19:38 | (New member) The Flesh Is Weak: only shirtless sometimes
1:19:38 | (New member) LapanNaxela: boxers+tshirt at least
1:19:38 | (New member) Tuffee: no
1:19:40 | (New member) Rye Mountain: In underpants sure, but not totally naked
1:19:41 | Sheep: no i don't like being naked kek
1:19:42 | (New member) CommanderMichael: only in my shorts here beatani
1:19:43 | InubaSHIRI Momiji: uuuuuoooooooooooohhhhhhhhhhhh
1:19:46 | (New member) gyroninja: No, I at least wear pajamas
1:19:47 | Incsy: I am a never nude
1:19:50 | (New member) Megiddo: naked? No. in my underwear? sure
1:19:50 | (New member) Sleep: Welcome to For Emote Kids!
1:19:51 | eeo: are there actually people who wear clothes in front of their PC? CRINGE
1:19:51 | (New member) david johnston: who doesnt walk around their house naked if your by yourself 
1:19:51 | (New member) Riptide Maurader: yes 25C is hot
1:19:53 | (New member) max r: ... you guys have houses... ? i'm homeless.
1:19:55 | Juvisy: Yep, pretty normal when it is hot out
1:19:56 | (New member) Antonio Badilla: To dry myself after a bath.
1:19:58 | (New member) Xayn: Yes 25° is too hot you texans
1:19:58 | (New member) Ekusupuroshon: It's uncomfortable to sit when naked
1:20:02 | (New member) RussianAnimeBot: whats wrong with you
1:20:05 | ciapaty ciapacz: I'm in my panties now UwU
1:20:07 | (New member) Firstname Lastname: paachamas
1:20:09 | (New member) david johnston: free ball it
1:20:11 | rockjawz: i only am clothed
1:20:20 | InubaSHIRI Momiji: yes
1:20:24 | (New member) Shippo: i sold my clothes to become an oil balon
1:20:27 | (New member) BasedBug: Japanese summer sounds absolutely miserable
1:20:28 | Mizuki Arisu: clothes in summer are for losers
1:20:33 | (New member) LapanNaxela: Japanese summer is hell, did my vacation in august
1:20:33 | blindfolded056: Do you have air conditioner ?
1:20:35 | (New member) TWAIN: 30+ is hot
1:20:37 | Sheep: 40 is hell
1:20:40 | darukaru: That’s pretty hot
1:20:45 | (New member) The Flesh Is Weak: T u T
1:20:49 | (New member) Luginov: imagine..
1:20:49 | Axiis: nice
1:20:57 | (New member) Rye Mountain: It never goes above 30 here, I can't imagine 40
1:20:58 | (New member) Firstname Lastname: LEWD
1:20:59 | (New member) The Flesh Is Weak: uooooooooh
1:21:01 | (New member) BasedBug: UH HO
1:21:01 | (New member) Zia: Yeah, and can't remove skin when it's really too hot
1:21:02 | (New member) Luginov: yabai
1:21:03 | (New member) max r: "mistake"
1:21:03 | (New member) Ekusupuroshon: your what???
1:21:05 | (New member) TWAIN: 😭
1:21:05 | (New member) Zed: lmfao
1:21:05 | (New member) Rye Mountain: Bea...
1:21:06 | yes: lol
1:21:06 | Question Box: IMAGINE
1:21:07 | (New member) Antonio Badilla: "mistake"
1:21:07 | lae: パンツだけ履くですよね
1:21:08 | (New member) Andrew: uhhh
1:21:11 | Sheep: mistake?
1:21:11 | stuffed idiot: LOL
1:21:15 | (New member) Tianfang's Adventures: Nice.
1:21:16 | (New member) Zhnigo: your "neighbor
1:21:19 | ciapaty ciapacz: JUST LIKE IN MANGA!!
1:21:20 | (New member) Raziel: I've seen this movie
1:21:20 | eeo: did you call him a hentai?
1:21:22 | (New member) BasedBug: >HE
1:21:22 | (New member) The Flesh Is Weak: >he
1:21:22 | (New member) ThatVidyaGuy: "by mistake"
1:21:24 | (New member) Andrew: >he
1:21:25 | (New member) Canna: What are you doing neighbor?
1:21:26 | (New member) The Flesh Is Weak: oh nonono
1:21:28 | (New member) max r: 🍝
1:21:30 | Question Box: >he
1:21:30 | stuffed idiot: >he
1:21:30 | lae: ？？？？？？？・
1:21:31 | (New member) Shippo: spaghetti dorop ineed
1:21:32 | (New member) Zhnigo: i knew anime was real
1:21:32 | (New member) CommanderMichael: >he
1:21:34 | stuffed idiot: bros...
1:21:35 | (New member) No Body: !?
1:21:45 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo::_sprdo:
1:21:47 | (New member) Sleep: Imagine the chair smell..
1:21:48 | (New member) Ekusupuroshon: yes... mistake right...
1:21:51 | (New member) Firstname Lastname: has no style
1:21:53 | (New member) Andrew: mistake bros....
1:22:01 | Sheep: i imagine kek
1:22:03 | (New member) No Body: has no grace
1:22:03 | (New member) Shippo: so Beatani has met a shonen manga protagonist, huh
1:22:07 | rockjawz: just like the manga
1:22:10 | Question Box: oh the things I would do if I was him.....
1:22:10 | blindfolded056: ぼくはびっくりしました !
1:22:11 | (New member) Rye Mountain: I beleb
1:22:22 | Question Box: FUCK
1:22:32 | (New member) Zhnigo: did he stumble and accidentally fall onto your chest?
1:22:45 | (New member) Tuffee: ruined
1:22:46 | (New member) max r: sorry dads, that was me.
1:22:49 | scruffles 383: am I the GUY?
1:22:51 | (New member) BasedBug: "naked style"
1:22:51 | (New member) anonEDM: 0% chance
1:22:59 | (New member) TWAIN: :_yah: i don't think he DIDN'T see
1:23:01 | (New member) Hanabi: @Zhnigo what chest?
1:23:02 | scruffles 383: concerning
1:23:04 | (New member) Herbie Cucumber: sorry bea, I totally saw
1:23:04 | Sheep: he got scared
1:23:05 | (New member) No Body: thats enough tbh
1:23:09 | (New member) Zhnigo: what's the difference between naked and naked style?
1:23:11 | (New member) Canna: Please clean your room 
1:23:18 | (New member) Ekusupuroshon: Dirty room... naked bear... was saw by a man... unbearable
1:23:21 | (New member) Antonio Badilla: Do japanese people not lock their doors?
1:23:22 | (New member) The Flesh Is Weak: was there even anything to see?
1:23:27 | yes: he probably went to the bathroom after that
1:23:30 | (New member) Andrew: never a dull moment in a beatani stream 
1:23:45 | (New member) Sleep: ouhhhh
1:23:51 | (New member) No Body: maybe it smelled too much...imagine...
1:23:58 | lae: わかる
1:24:14 | (New member) Ekusupuroshon: He did his hand reps after that...
1:24:15 | eeo: yeah, he went to wash his hands after seeing how dirty the room was
1:24:19 | darukaru: You’ve opened a door that can never be closed
1:24:22 | (New member) RussianAnimeBot: lol
1:24:29 | (New member) Zhnigo: self-confident bear
1:24:30 | (New member) Hanabi: do your room cleaning reps bea
1:24:31 | (New member) Zia: Poor guy...
1:24:33 | stuffed idiot: he was repulsed by your filthy room
1:24:35 | TheFlyingWingNut: always look your door...
1:24:38 | (New member) LassesAffar: きもっ
1:24:39 | (New member) Firstname Lastname: ADHD room
1:24:48 | (New member) Tachi: He saw the tower of trash bags
1:24:48 | (New member) Ekusupuroshon: 2 years ago???
1:24:50 | (New member) TWAIN: maybe he doesn't like bears
1:24:53 | blindfolded056: room was too kitanai w w 
1:24:59 | (New member) Raziel: It's a bear cave, can't expect too much
1:24:59 | (New member) LapanNaxela: Should have walked over, still naked, to assert dominance
1:25:09 | (New member) Shippo: well, did you clean up your room after that?
1:25:15 | (New member) LassesAffar: try depression room
1:25:20 | InubaSHIRI Momiji: OCD room
1:25:29 | (New member) Zia: Hikikomori room
1:25:36 | (New member) Rye Mountain: Dirty room review when
1:25:39 | Andrew Ryan: clean houseclean room clean hands
1:25:42 | (New member) Ekusupuroshon: Clean your Room!
1:25:43 | (New member) ThatVidyaGuy: Bear cave is messy
1:25:48 | (New member) Raziel: "Oh, so you're approaching me?"
1:25:49 | (New member) BasedBug: How can people live with such dirty rooms, I don't get it
1:26:12 | (New member) Tianfang's Adventures: Clean your rooms 
1:26:18 | (New member) Andrew: darth vader sfx 
1:26:29 | (New member) Luginov: nice n clean hills
1:26:39 | (New member) Ekusupuroshon: "Clean" sure...
1:26:43 | (New member) BasedBug: It's great to live by myself, because I've always lived with really messy people
1:26:47 | (New member) TWAIN: there's plenty of time to dirty the xp hill as welll
1:26:50 | InubaSHIRI Momiji: don't let the grass grow too long though
1:26:53 | (New member) gyroninja: Especially after you pick the weeds on XP hill
1:26:57 | Denied: bill gates comes in every week to clean xp hill
1:27:13 | (New member) Luginov: beatani...
1:27:16 | (New member) BasedBug: That's so disgusting
1:27:17 | (New member) Rye Mountain: Bea...
1:27:18 | Sheep: bea.....
1:27:18 | rockjawz: what
1:27:18 | (New member) Ekusupuroshon: OH GOD
1:27:18 | (New member) Tachi: :_sprdo:
1:27:19 | (New member) LassesAffar: sugoi..
1:27:20 | yes: holy
1:27:21 | (New member) LapanNaxela: bea...
1:27:23 | tokanite: oof
1:27:24 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo:
1:27:24 | Denied: bea...
1:27:25 | (New member) Transcendental_ColonThree: iktf
1:27:25 | (New member) Shippo: nice
1:27:27 | (New member) Ekusupuroshon: Bea...
1:27:27 | nicenature: based
1:27:27 | (New member) david johnston: jackku...
1:27:28 | (New member) max r: bea...
1:27:29 | lae: damn.
1:27:31 | (New member) Zia: Ahah
1:27:31 | (New member) Shippo: based bear room, i respect that
1:27:31 | stuffed idiot: bea....
1:27:32 | (New member) TWAIN: □
1:27:33 | Shiroi Fenrir白: nice clean room
1:27:33 | rockjawz: no wonder she was more worried about the room than her body
1:27:33 | Question Box: uhhhh...
1:27:35 | darukaru: Hoarder room
1:27:36 | (New member) BasedBug: So somewhere in the middle of this was as naked bear?
1:27:37 | (New member) Tuffee: bea...
1:27:38 | (New member) RussianAnimeBot: □
1:27:38 | (New member) Big Gold: Bea...
1:27:39 | (New member) No Body: oh my god
1:27:40 | (New member) Zia: Hikikomori room
1:27:41 | (New member) max r: hoarder bear
1:27:42 | Crown: bea..
1:27:42 | (New member) Zhnigo: you could just hide in the garbage 
1:27:43 | (New member) RussianAnimeBot: :_sprdo::_sprdo::_sprdo:
1:27:43 | (New member) Ekusupuroshon: KITANAI
1:27:46 | (New member) Luginov: how does it even get THIS BAD
1:27:49 | (New member) ThatVidyaGuy: bea...
1:27:49 | (New member) Sleep: neet life
1:27:55 | lae: 地震とかあったの？？
1:27:57 | Incsy: ah, organized chaos
1:28:01 | Crown: kichanai
1:28:02 | stuffed idiot: no wonder her left without trying to get a good look
1:28:03 | (New member) XenMaster220: nimious plays
1:28:05 | Sheep: do you clean your room now?
1:28:11 | (New member) XenMaster220: oops
1:28:13 | (New member) Zia: He was scared away
1:28:19 | (New member) Ekusupuroshon: Imagine the smell
1:28:28 | (New member) Zed: imagine
1:28:29 | (New member) No Body: and i think my room is filthy but its not THAT bad..
1:28:32 | (New member) Antonio Badilla: Marie Kondo just commited suicide...
1:28:33 | eeo: he probably opened the door and got overwhelmed by the smell
1:28:42 | WhiteWish DY: jesas
1:28:50 | (New member) Zhnigo: xp hill is clean by virtue of being larger and therefore harder to cover in garbage
1:28:56 | eeo: no way there isn't something rotting in there
1:28:57 | (New member) Rye Mountain: Not quite that bad
1:28:59 | Question Box: no
1:28:59 | (New member) BasedBug: Room review stream?
1:29:01 | blindfolded056: 👀 マジ ?
1:29:03 | (New member) LapanNaxela: no
1:29:03 | (New member) Luginov: never
1:29:03 | (New member) Moeniki: wow that's so messy
1:29:04 | (New member) Ekusupuroshon: I live in a room but it's Cristal clean always!
1:29:05 | stuffed idiot: no
1:29:06 | (New member) Big Gold: No way
1:29:07 | (New member) Zeng: no
1:29:07 | (New member) Sol Codguy: I wish I had a chair that nice
1:29:09 | Sheep: i like to clean, no
1:29:15 | (New member) ThatVidyaGuy: No
1:29:15 | nicenature: no
1:29:16 | (New member) Tachi: No! My room is clean
1:29:17 | Andrew Ryan: y...yes
1:29:17 | (New member) Sleep: no
1:29:19 | (New member) Zia: Not to that level
1:29:22 | (New member) Zhnigo: no, i have a pathway from door to pc
1:29:22 | (New member) XenMaster220: So dirty..
1:29:23 | darukaru: I live in a dump but it’s nowhere that bad
1:29:25 | Denied: can you define this as suitable for living?
1:29:31 | (New member) TheNoOne: I used to, though not quite as bad
1:29:31 | stuffed idiot: andrew ryan-san...
1:29:34 | (New member) Shippo: mine is pretty bad, but not that bad
1:29:37 | (New member) Luginov: messy oil balon..
1:29:39 | Sheep: kek
1:29:43 | Question Box: BTFO
1:29:44 | (New member) Mobius: my room has its own ecosystem
1:29:59 | (New member) Rye Mountain: I have some milk cartons and beer bottles on the floor but that is it
1:30:00 | Juvisy: It is not exactly clean but not this bad
1:30:11 | (New member) Zia: New species can grow in such rooms
1:30:34 | (New member) Ekusupuroshon: Nostalgic of a dirty room .... ogey
1:30:39 | (New member) BasedBug: How can you be nostalgic for such mess?
1:30:48 | (New member) CommanderMichael: waow, my room is nowhere near like that
1:30:50 | (New member) The Flesh Is Weak: back to OMORI
1:30:59 | eeo: because you brought it up?
1:31:07 | (New member) BasedBug: What a life
1:31:10 | (New member) Ekusupuroshon: it all started with the hadaka stream
1:31:21 | (New member) Zia: Talking with herself
1:31:26 | (New member) Raziel: I love Beatani streams
1:32:09 | (New member) TWAIN: BEA LOVE
1:32:09 | (New member) Moeniki: who is (you)?
1:32:10 | (New member) Megiddo: c-cute
1:32:11 | (New member) nona: She loves me bros
1:32:12 | (New member) Luginov: beatani love!
1:32:12 | (New member) CommanderMichael: ❤ 
1:32:13 | Sheep: we love you too
1:32:14 | (New member) anonEDM:  I love (You)
1:32:14 | (New member) Rye Mountain: Aww :_nukutea:
1:32:17 | (New member) Tuffee: cute
1:32:22 | blindfolded056: kawaii
1:32:22 | (New member) BasedBug: Best stream
1:32:22 | (New member) gyroninja: :_nukutea:
1:32:24 | (New member) max r: greedy woman
1:32:25 | (New member) CommanderMichael: gosling-san, get in here
1:32:26 | (New member) ThatVidyaGuy: Beatani love! ♥
1:32:30 | (New member) Zhnigo: BEA OLEV
1:32:30 | Megumin: ❤
1:32:30 | (New member) Margrave: :_nukutea:
1:32:37 | (New member) Luginov: everytime
1:32:41 | lae: 草
1:32:42 | (New member) MBmasher: i love this damn bea
1:32:44 | (New member) Tuffee: yes, we are very easy
1:32:45 | blindfolded056: 🍯
1:32:47 | (New member) Tachi: Bea is laughing at us...
1:32:49 | (New member) Zia: Too easy indeed
1:32:49 | Sheep: we are easy....
1:32:49 | (New member) The Flesh Is Weak: :_sprdo:
1:32:57 | Megumin: ah.. played again
1:32:57 | (New member) Canna: Too much power 
1:32:57 | (New member) Ekusupuroshon: Bea is getting too cocky
1:33:12 | (New member) anonEDM: I want to believe her lies
1:33:15 | (New member) Tachi: BEATANI LOVE
1:33:16 | (New member) Zhnigo: bea is only good for easy modo...
1:33:17 | (New member) XenMaster220: :_sprdo:
1:33:21 | InubaSHIRI Momiji: my heart
1:33:22 | (New member) Shippo: look out
1:33:23 | (New member) nona: She doesn't love me bros..
1:33:25 | (New member) Firstname Lastname: damn she's good
1:33:26 | (New member) Megiddo: treasured beef bowl
1:33:26 | (New member) BasedBug: It's too early to make the Goslings freak out
1:33:28 | (New member) MBmasher: its ok we know you love us
1:33:39 | (New member) Mobius: Chihiro emote can't come soon enough
1:33:39 | (New member) max r: my grandmother's treasured yoshinoya gyudon
1:33:54 | (New member) ThatVidyaGuy: Wouldn't that make you crazy for buying his grandma's old beef bowl
1:33:56 | (New member) Herbie Cucumber: lmao
1:34:17 | (New member) Zhnigo: cash money
1:34:33 | (New member) Megiddo: luckily it was only bread she bought
1:34:43 | (New member) XenMaster220: ASMR:_kita:
1:34:49 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
1:35:30 | (New member) Transcendental_ColonThree: :_sprdo:
1:35:31 | (New member) Megiddo: new mic hype
1:35:37 | (New member) Moeniki: ASMR mics are so expensive
1:35:37 | (New member) Ekusupuroshon: ASMR bros...
1:35:37 | (New member) max r: new mic nice
1:35:38 | (New member) Transcendental_ColonThree: ASMR REPS LOVE
1:35:44 | (New member) Tachi: Dads... we lost...
1:35:44 | (New member) Hanabi: ASMR is cringe
1:35:44 | (New member) Zhnigo: ery noic
1:35:45 | (New member) Luginov: yeah but they're not you
1:35:48 | (New member) Firstname Lastname: □
1:35:53 | (New member) Megiddo: you can just do soft voice stream instead
1:35:53 | stuffed idiot: GFEbros...
1:35:53 | (New member) max r: who needs ASMR when you have beatani speaking to you?
1:35:55 | (New member) Herbie Cucumber: based
1:36:09 | (New member) LapanNaxela: Do a shouting stream
1:36:17 | (New member) Sleep: KU100 Heartbeat stream..
1:36:20 | (New member) Zia: Well the bath tweet was already working as such
1:36:30 | ciapaty ciapacz: No ear liking? That sucks
1:36:34 | Andrew Ryan: yab
1:36:35 | (New member) Ekusupuroshon: oi...
1:36:38 | (New member) max r: ok, i'll wait on level 5
1:36:39 | (New member) Rye Mountain: yab
1:36:40 | (New member) Zia: ok
1:36:41 | InubaSHIRI Momiji: take all of my money
1:36:44 | (New member) Tuffee: how much
1:36:48 | (New member) Firstname Lastname: based capitalist bear
1:36:58 | (New member) nona: $3
1:36:58 | (New member) Raziel: Having your limbs ripped off by a furious polar bear ASMR
1:36:58 | (New member) anonEDM: 10000 pix
1:37:02 | (New member) The Flesh Is Weak: 30 ARS
1:37:02 | (New member) Rye Mountain: about 0 dollars
1:37:04 | (New member) Tachi: All my life savings
1:37:05 | (New member) BasedBug: 1 dollar per word
1:37:06 | (New member) max r: $0
1:37:06 | (New member) Hanabi: bout tree fiddy
1:37:09 | eeo: about 3.50
1:37:12 | (New member) Ark K.: what discord?
1:37:13 | Andrew Ryan: I already paid $100 to join the discord
1:37:14 | (New member) Mobius: 200ARS
1:37:22 | stuffed idiot: this is just compensated dating...
1:37:28 | (New member) Ekusupuroshon: 1 ARS
1:37:30 | (New member) Firstname Lastname: >he doesn't know
1:37:31 | (New member) Raziel: >he doesn't know
1:37:40 | (New member) max r: sumimasen you must understand andrew ryan chama
1:37:49 | (New member) Zhnigo: >he lacks the critical information
1:37:53 | (New member) ThatVidyaGuy: $100 per word from Beatani
1:38:06 | (New member) Zia: Not that discord, the other one
1:38:07 | (New member) Zhnigo: how much to join the secret trello board
1:38:08 | Mallic: You probably triggered so many people with that title....I knew there was a reason I liked you
1:38:12 | (New member) Ark K.: :_sprdo:
1:38:16 | (New member) XenMaster220: >he's ngmi
1:38:55 | (New member) Tachi: :_sprdo:
1:38:59 | (New member) Zia: Private MSN messenger ASMR...
1:39:12 | (New member) nona:  She'll never be able to afford it without your help OINK
1:39:12 | (New member) Antonio Badilla: coomers btfo
1:39:26 | (New member) nona: OINK OINK
1:39:27 | (New member) Megiddo: you don't need to do like ear cleaning shit. Just soft speaking for instance can be fine.
1:39:32 | (New member) LassesAffar: ago is right
1:39:34 | (New member) The Flesh Is Weak: no ASMR youtuber can do river batch ASMR
1:39:37 | (New member) The Flesh Is Weak: bath*
1:39:58 | Sheep: lewd asmr is great
1:39:59 | (New member) Ekusupuroshon: masuru....
1:40:05 | (New member) Moeniki: slime?
1:40:07 | (New member) Transcendental_ColonThree: EAR CLEANING UOOOOOOHHHHHHH
1:40:07 | (New member) BasedBug: Slime asmr?
1:40:12 | Andrew Ryan: KFC ASMR!!
1:40:12 | InubaSHIRI Momiji: bea soap asmr...
1:40:18 | (New member) Tachi: Ear licking asmr...
1:40:22 | (New member) The Flesh Is Weak: ah yeah I remember
1:40:29 | (New member) Sleep: I miss soft breathing asmr
1:40:37 | stuffed idiot: I'M GOING TO TIIINNNNGLLLEEEEEE
1:40:47 | (New member) TWAIN: peropero asmr uoh
1:40:49 | TheHighestNativeGod: I want a tongue clicking asmr from beatani....
1:40:54 | (New member) Antonio Badilla: hunting salmon at the river asmr
1:40:54 | (New member) Zhnigo: I only know canaan
1:40:55 | yes: coomer bait
1:41:02 | (New member) XenMaster220: :_kita:
1:41:05 | (New member) max r: I don't listen to ASMR.
1:41:21 | stuffed idiot: macoto is something else
1:41:23 | (New member) BasedBug: If there's a market, people will pay a lot of money
1:41:33 | (New member) Zia: There is also 真園あきら ASMR... many different types
1:41:35 | (New member) Moeniki: ASMR voice is so close to the ear
1:41:43 | (New member) TWAIN: she can't belieb it
1:41:45 | (New member) Raziel: I listened to a gun cleaning ASMR the other day, oddly peaceful
1:41:50 | Sheep: lol cute
1:41:55 | Question Box: canan's great, but macoto is a god among men
1:41:56 | (New member) The Flesh Is Weak: Uooooh
1:41:57 | (New member) RussianAnimeBot: yabe
1:42:00 | Andrew Ryan: beatani doing her hand reps!
1:42:01 | (New member) Ekusupuroshon: Reps...
1:42:02 | (New member) BasedBug: The ASMR was that good?
1:42:08 | (New member) TWAIN: hot bear body...
1:42:08 | (New member) The Flesh Is Weak: I bet Chihiro could do it...
1:42:11 | TheHighestNativeGod: uuuuooooooohhh
1:42:14 | (New member) Raziel: Beatani hot and bothered uoooh
1:42:15 | (New member) XenMaster220: >My body became hot Reps!! Hand REPS!!
1:42:17 | (New member) Sleep: HAND REPS
1:42:17 | Sheep: share the sauce
1:42:24 | (New member) Moeniki: Are your bear ears an erogenous zone?
1:42:26 | (New member) nona: She's gonna be embarrassed over the surprise birthday dad asmr we recorded for her..
1:42:30 | (New member) Zhnigo: :_uoooh: :_handreps:
1:42:31 | (New member) RussianAnimeBot: chihiro member only lewd asmr
1:42:35 | (New member) max r: UOO
1:42:35 | (New member) Tuffee: lmao
1:42:43 | (New member) Herbie Cucumber: lmao
1:42:44 | Denied: licking????
1:42:48 | (New member) Ekusupuroshon: she went full Uooooooh
1:42:55 | darukaru: the kind that’s just someone talking or reading a story or something is good. I don’t get the ear eating stuff at all
1:42:55 | lae: ゼロ、ゼロ、ゼロ♡
1:43:00 | stuffed idiot: actual ear licking or """ear licking"""
1:43:03 | (New member) No Body: it was titled lewd at least,right?
1:43:04 | (New member) max r: ASMR Tier $99.99 per month
1:43:07 | (New member) Tianfang's Adventures: Oh my~
1:43:12 | lae: lmao
1:43:12 | (New member) Transcendental_ColonThree: Uoooohhhh
1:43:15 | (New member) gyroninja: I don't like ear licking ASMR myself
1:43:15 | eeo: No wonder she's a virgin
1:43:24 | Andrew Ryan: chomama
1:43:24 | (New member) Zhnigo: @max r make that 99.99 ARS
1:43:30 | (New member) max r: are you listening right now?
1:43:44 | (New member) ThatVidyaGuy: I just realized she hasn't played the game for so long that this is a Zatsudan now LMAO
1:43:47 | (New member) Megiddo: I just like the soft speaking/singing ASMR streams. The ear cleaning/licking stuff repels me
1:43:51 | (New member) Shippo: everytime the shota shows up, stream goes full yab
1:43:54 | (New member) Rye Mountain: no
1:43:55 | (New member) Ekusupuroshon: Never
1:43:56 | Question Box: no
1:43:56 | (New member) The Flesh Is Weak: of course
1:43:57 | stuffed idiot: no
1:43:58 | (New member) Transcendental_ColonThree: eyes too
1:43:59 | (New member) TWAIN: no...
1:43:59 | (New member) ThatVidyaGuy: Yeah
1:44:00 | InubaSHIRI Momiji: yes, by my dog
1:44:00 | (New member) Zhnigo: ...yes
1:44:00 | (New member) Moeniki: Y-yes
1:44:00 | (New member) anonEDM: :_yah:
1:44:00 | (New member) Zeng: no
1:44:00 | (New member) nona: Yes
1:44:01 | Question Box: not yet
1:44:02 | TeutonicSorcery: God, I wish
1:44:03 | (New member) LassesAffar: yes
1:44:03 | (New member) Tachi: Yeah
1:44:04 | (New member) Big Gold: Never
