-7:43 | (New member) XeniVari: 待機
25:38 | (New member) ユーネ: :_sprdo:
25:39 | eeo: wanting to die is cringe
25:40 | (New member) Stray Wolf: don't 
25:40 | Mobius: LET'S GO
25:42 | (New member) Ark K.: tomoko got a harem eventually
25:44 | Alexander Holzer: lmao
25:46 | (New member) ThePlatinumCan: No, live and face the harsh life... said looser dad. 
25:48 | (New member) ユーネ: cringe bear
25:49 | Woop Woop: dont feel bad beatani
25:55 | (New member) The Flesh Is Weak: IKZ?:_sprdo:
25:55 | (Verified, Moderator) Streamlabs: Anon just tipped $2.00 dayo!
25:57 | (New member) No Body: it wasnt that bad
25:57 | (New member) Lazm: BEA LOVE
25:59 | MutantCarrot: based bear
25:59 | Your Local Weeb: " I hate myself and want to die" - bear
26:05 | dartherori: death is cringe
26:05 | Andrew Ryan: beatani already has a harem
26:08 | (New member) Rye Mountain: The daughter and dad are not so different afterall
26:10 | Lodowa Wrozka: 草
26:10 | (New member) ThatVidyaGuy: We're all cringe. What really makes one based is facing their worst moments and learning from them.
26:11 | Question Box: suicide is not based or red pilled
26:12 | Sheep: my daughter wanted to die lets's goooooo
26:17 | (New member) Fake Name: Stand up straight against the cringe of reality
26:20 | (New member) BasedBug: Too Fast RPG really was a downward spiral
26:22 | (New member) Mister Eko: oh no
26:27 | (New member) Fake Name: Yeah, very different
26:27 | RobDeLaMort: Beatani it's best if you just try not to think about that stuff and keep busy.
26:31 | (New member) Tianfang's Adventures: Bear is going to get a harem soon
26:36 | (New member) Mechanized Doge: それは聞きたくない事っす。他と同じくちゃんと生きてくだいね。マジで。
26:40 | (New member) Zia: Even she got it better than Beatani!
26:41 | (New member) CommanderMichael: yea, tomoko has friends now
26:44 | 123457474869: >gensokyo noose.jpg
26:48 | (New member) Fake Name: Ah that is how it can be
26:49 | Project Seele: It's okay to feel like that, you can move on beatani
26:52 | Δ: beatani, LIVE.
26:52 | RobDeLaMort: Friends are for normies
26:55 | (New member) クラガリ葉月: Friends are cringe.
26:57 | (New member) Suukotto Funsha: Bear has a harem already. A harem of dads
26:57 | Voltage: dad harem when?
26:59 | (New member) Margrave: Watamote is now a yuri harem manga..
27:03 | VerticalCloud: so it's possible for us all
27:03 | (New member) Mister Eko: >Even Tomoko has a harem now
27:06 | (New member) Sol Codguy: Tomoko's doing well now, which can be kind of sad in a different way if the reader is still in early-Tomoko stage
27:06 | (New member) Fake Name: Friends are cringe and unbased
27:07 | (New member) Mew: Yuri harem OK
27:12 | TheHighestNativeGod: Tomoko eventually gets better and gets gfs
27:14 | (New member) BasedBug: Work on self-improvement, even if it's something small like RFA
27:16 | TheHighestNativeGod: Don't give up, beatani!
27:17 | (New member) Moeniki: wakaru
27:17 | (New member) Mechanized Doge: ノープロブレム。
27:27 | Δ: LIVE.
27:27 | (New member) Matthew: Beatoni CUTE
27:30 | (New member) CantDood: mmmmmmmm
27:31 | (New member) Mister Eko: WATAMOTE ZATSUDAN LET'S GO
27:31 | (New member) The Flesh Is Weak: ogey
27:32 | (New member) OverMagnet: Ahh, so it's like that, huh. I understand everything now. ⬅Doesn't get it at all.
27:33 | (New member) Stray Wolf: the key is not to care 
27:33 | (New member) Theblekedet: I hope you're feeling better now
27:37 | Your Local Weeb: if ya want to be based, you can't have friends
27:39 | Brandon21: I'll always support my cute daughter.
27:39 | (New member) The Pope: Ganbare Bea :_kita:
27:39 | (New member) Suukotto Funsha: We're all here for you Beatani
27:43 | (New member) Margrave: lol
27:43 | (New member) ThatVidyaGuy: Yes I agree with the dads above. Self improvement is a great goal.
27:47 | (New member) Fake Name: I totally get it
27:51 | (New member) Mister Eko: dark history, yes
27:52 | (New member) Mechanized Doge: BasedBugが言ったようにRFAはいいね。
27:53 | (New member) Sol Codguy: It was probably still mixing the alcohol and meds...
27:54 | (New member) CommanderMichael: topKEK
27:56 | (New member) Moeniki: dark history
27:56 | (New member) ユーネ: I will read watamote as well 草
27:56 | (New member) 77Yuja_: read NHK next
27:56 | (New member) LassesAffar: dark past, embarrassing past
27:58 | (New member) BasedBug: Meds, alchohol and Watamote are a bad combination
28:04 | (New member) Absolute Link: glad to hear it
28:05 | Sheep: I think taking meds with alcohol was a bigger mistake to be honest kek
28:07 | (New member) Stray Wolf: dark past 
28:07 | (New member) Luginov: meds AWAY
28:10 | (New member) Takahama Nuuta: thats why i don't read watamote
28:13 | (New member) Hanabi: just don't mix meds and alcohol and things will work out
28:14 | (New member) Kyle: If you're enjoying yourself, you can't go wrong!
28:15 | (New member) Mechanized Doge: あっているね
28:17 | (New member) ユーネ: ほんと?
28:17 | AtomicBanana 55: Glad to hear you feel better!
28:22 | (New member) クラガリ葉月: So the moral of the story is to not read Watamote. Got it.
28:23 | Voltage: Fine bear is best bear dayo
28:23 | (New member) XenMaster220: meds AWAY!!!
28:24 | (New member) Sol Codguy: dark past AWAY
28:29 | (New member) Zia: NHk ni Youkoso watchalong when!
28:31 | (New member) Rye Mountain: Concerta makes me sad, that's why I stopped when I became adult.
28:35 | (New member) BasedBug: You know what the best therapy is? Slay the Spire
28:36 | (New member) ThatVidyaGuy: Just never mix your meds with alcohol again and you'll be alright. That will destroy your liver.
28:40 | (New member) Mechanized Doge: その調子です！
28:42 | (Verified, Moderator) Streamlabs: AndrewRyan just tipped $44.00 dayo!
28:43 | (New member) OverMagnet: 💊💨
28:43 | (New member) Fake Name: Concerta cocktail away
28:44 | (New member) Mister Eko: oh dear
28:44 | (New member) Peer: Get over with it, yes
28:48 | (New member) ユーネ: Brave Bear
28:51 | (New member) Margrave: Time fixes everything.
28:53 | (New member) Mister Eko: Andrew-san...
28:54 | (New member) Theblekedet: based andrewryansan
28:56 | (New member) Matthew: Oil balon sugoi
29:01 | sp33d4l0l: moral of the story: don't read watamote when depressed, don't drink while on meds, meds AWAY
29:04 | 123457474869: based Andrew-chan
29:04 | (New member) クラガリ葉月: □Ryan
29:07 | (New member) LassesAffar: wakaru
29:07 | Voltage: bravebear!
29:09 | (New member) max r: thanks for sharing, bea
29:10 | (New member) ユーネ: わかる
29:10 | Project Seele: Thank you for talking it with us
29:10 | SpaceTalon: Very brave Bear much cute!
29:11 | (New member) XenMaster220: So grown up. So Based.:_kita:
29:11 | (New member) The Pope: Based bear, absolutely based 100/10
29:15 | Brandon21: i kneel
29:19 | (New member) BasedBug: You're strong!
29:22 | (Verified, Moderator) Streamlabs: onii-chan just tipped $3.00 dayo!
29:26 | (New member) Xayn: NHK episode 13 watchalong
29:27 | (New member) No Body: talking about feelings is always tough
29:29 | (New member) Sol Codguy: □:_bea:
29:30 | (New member) ユーネ: keep being□bea
29:36 | Sheep: oh no the dms after this stream
29:37 | (New member) Mask: Brave bear, glad you feel better
29:39 | (New member) Hanabi: sharing your problems instead of bottling them up is always for the best
29:39 | (New member) Firstname Lastname: concernfriends AWAY
29:40 | Project Seele: yabe
29:40 | (New member) ユーネ: lmao
29:40 | (New member) Tachi: Concernfriends...
29:41 | (New member) Zia: Oh no
29:42 | (New member) Moeniki: DM away!
29:44 | (New member) Theblekedet: lmao
29:45 | (New member) BasedBug: DMs AWAY
29:46 | Arcus crundelic: wow cringe
29:46 | (New member) ユーネ: cringe dads
29:47 | Cheese: oh no
29:47 | (New member) 77Yuja_: ojisans....
29:47 | Project Seele: Ojii-san DM ☠☠☠
29:48 | (New member) Fake Name: The dads were such disasters yesterday
29:48 | (New member) The Pope: Cringe DM ojisans AWAY
29:49 | (New member) A A: Stop the DMs.
29:49 | (New member) XenMaster220: □
29:50 | knull: lmao
29:50 | (New member) max r: do you want more oji san posting?
29:50 | (New member) クラガリ葉月: 危ない
29:51 | (New member) OverMagnet: The DM's 草
29:52 | (New member) ThatVidyaGuy: DMS AWAY
29:52 | (New member) No Body: uh oh here it comes
29:52 | (New member) TWAIN: ojisans AWAY
29:52 | (New member) Matthew: Ojisan away!
29:53 | (New member) CommanderMichael: creepy DMs AWAY
29:54 | (New member) Mister Eko: lol poor guys
29:54 | (New member) Sol Codguy: Oji's AWAY
29:54 | Your Local Weeb: concernfrens gtfo
29:56 | (New member) Rye Mountain: Don't send her DMs dads, it is cringe
29:56 | (New member) Margrave: Cringe DMS
29:57 | Δ: concrendads we got too cocky
29:57 | Voltage: no dms, only support in chat
29:58 | Andrew Ryan: AWAY
29:58 | (New member) CantDood: it's always the DM guys
30:00 | TheHighestNativeGod: DMs AWAY
30:01 | (New member) The Flesh Is Weak: ojisans AWAY
30:02 | (New member) LoneRanger25: ojisans AWAY
30:02 | (New member) ユーネ: ojisans away;
30:05 | AtomicBanana 55: lmao
30:05 | (New member) Margrave: Go away ojisan
30:09 | (New member) XenMaster220: OJI-SANS AAAAAWWAAAAAAAAAAAY
30:12 | BearintheWoods: Cringe DMs go away?
30:13 | Lodowa Wrozka: >grooming
30:14 | (New member) Xayn: Put DMs on screen
30:16 | (Verified, Moderator) Streamlabs: Peer just tipped $10.00 dayo!
30:17 | sp33d4l0l: ojisan HATE
30:18 | (New member) ThePlatinumCan: Ojisans away
30:20 | Sammy D.: based punish time
30:20 | Voltage: concernfrensAWAY
30:20 | Brandon21: oji-sans ruse yo!
30:22 | (New member) Nasty Yukari: henjibito...
30:22 | AtomicBanana 55: Cringe dads away!
30:25 | (New member) Mechanized Doge: >they couldn't wait for the stream to talk about it
30:29 | Horror: lol
30:31 | (New member) OverMagnet: 🥺👉👈
30:41 | Axiis: beatani blackpill
30:43 | Sheep: CUTE!
30:48 | (New member) Fake Name: Ah classic
30:48 | (New member) 77Yuja_: viscous cycle
30:51 | AtomicBanana 55: Kawaii!
30:51 | SpaceTalon: cute! CUTE!
30:52 | Δ: ojitans...
30:58 | (New member) Absolute Link: never could have seen that coming
30:59 | (New member) ユーネ: 森
31:02 | (New member) Theblekedet: I'd feel embarrassed too
31:07 | (New member) Tachi: oh nonon
31:08 | (New member) ユーネ: foolish dads
31:08 | (New member) BasedBug: OjiPosting..
31:15 | AtomicBanana 55: F
31:19 | Arcus crundelic: hmm
31:20 | (New member) Karren Taleb: CUTE BEAR
31:21 | (New member) BasedBug: People turning your bad feelings into their guilt?
31:23 | (New member) Mister Eko: Some people have good intentions, but they don't know when they should stop
31:24 | (New member) ユーネ: FOOLISH DADS NEED PUNISHMENT
31:27 | (New member) OverMagnet: ぐま-as
31:28 | Δ: so they make you worry more?
31:31 | (New member) XenMaster220: Kuma!
31:31 | (New member) Kaiser Kebab: It is okay! 
31:32 | (New member) Matthew: OK:_sprdo:
31:35 | (New member) Sol Codguy: Don't worry about the ojisans, concerndads, and goslings, Beatani. They are weak and must be culled
31:36 | (New member) Kyle: 💯%
31:38 | (New member) ThePlatinumCan: Yeah
31:39 | AtomicBanana 55: 👍
31:39 | (New member) ユーネ: わかる
31:40 | (New member) ThatVidyaGuy: OK!
31:40 | (New member) Luginov: already in the past now :_yah:
31:40 | Sheep: yes
31:40 | TheHighestNativeGod: yes, but some dads are not very smart
31:42 | VerticalCloud: yes, it's ok
31:42 | (New member) Rye Mountain: I think I understand yes
31:44 | stuffed idiot: cute concerfriends
31:44 | (New member) CantDood: :_yah:
31:45 | (New member) BasedBug: No DM's, No Cringeposting
31:47 | (New member) Mechanized Doge: :_nukutea:
31:48 | Project Seele: glad that you're ok, that long mmm's really scared me
31:55 | (New member) Sol Codguy: :_yah::_nukutea:
31:55 | (New member) XenMaster220: :_yah:
31:57 | Voltage: BEAR IS FINE LETS FUCKING GOOOOOOOOOO
31:57 | Horror: Naruhodo...all good
31:59 | (New member) Neko Mikuri 寝込みくり: :_sprdo:
31:59 | (New member) TWAIN: :_nukutea::_sprdo:
32:02 | (New member) Hanabi: DMs AWAY
32:03 | (New member) The Pope: Only shitposting here
32:04 | (New member) Canna: :_yah::_nukutea:
32:04 | (New member) OverMagnet: :_sprdo::_yah:
32:05 | (New member) ThatVidyaGuy: :_yah::_nukutea:
32:08 | (New member) Xayn: Someone suggested a cringe DM review
32:10 | (New member) CommanderMichael: yea, DMs and cringposting should be axed
32:15 | (New member) Mister Eko: wait, DM ojisan is ok? :_sprdo:
32:15 | (New member) No Body: people did that? lol
32:16 | (New member) Tianfang's Adventures: :_sprdo: cringe
32:17 | (New member) Matthew: Cringe ojisan go away
32:18 | AtomicBanana 55: No cringe ojisans
32:19 | Alexander Holzer: We get it, no need to keep talking about it.
32:20 | Voltage: DM REVIEW
32:21 | (New member) Moeniki: Ojisan AWAY
32:23 | (New member) クラガリ葉月: :_yah:
32:29 | sp33d4l0l: ojisan DM review
32:30 | kaiserschmarrn_: DM REVIEW
32:30 | (New member) Tianfang's Adventures: ojisans rollout
32:32 | Question Box: DM REVIEW
32:33 | sp33d4l0l: put them on blast
32:36 | (New member) TWAIN: lmao DM review
32:36 | (New member) BasedBug: DM's = Don't Message
32:38 | (New member) OverMagnet: DM REVIEW
32:38 | (New member) The Flesh Is Weak: DM review
32:38 | Your Local Weeb: inb4 DM review
32:49 | knull: do a DM review
32:52 | (New member) Rye Mountain: DM review would just encourage them more I think 
32:52 | (New member) CantDood: they'll still send them after the stream some people can't help themselves
32:52 | Sheep: lmao
32:55 | Δ: ojisan very long
32:57 | Cyshio: DM review let's go
32:58 | (New member) BasedBug: People unironically sending essays looking for pity, bad choice
33:00 | Sheep: expose
33:01 | (New member) OverMagnet: 👏👏NEXT DM!
33:02 | (New member) Mechanized Doge: シンプル・イズ・ベスト
33:05 | (New member) CantDood: oh yeah DM review
33:07 | (New member) No Body: now THATS a punishment
33:07 | (New member) Margrave: 📸 all the dms
33:08 | (New member) Nasty Yukari: DM REVIEW: Fight cringe with cringe
33:13 | Andrew Ryan: dms AWAY
33:18 | kaiserschmarrn_: nooooooooo keep them please
33:19 | (New member) BasedBug: OJISAN DM AWAY
33:19 | (New member) Verijero: AWAY
33:20 | sp33d4l0l: aw rip
33:20 | (New member) Neko Mikuri 寝込みくり: ざんねん
33:22 | Radio Calico: bear c*nny
33:24 | (New member) Ark K.: search for the cringiest dms
33:26 | (New member) The Flesh Is Weak: content AWAY:_sprdo:
33:26 | (New member) Matthew: Ojisan🔨
33:27 | AtomicBanana 55: The cringe has been purged
33:27 | Your Local Weeb: :(
33:28 | sp33d4l0l: all ojisan DMs already got AWAYed
33:28 | Project Seele: Do they DM your twitter vtuber account? 
33:29 | Δ: ojichamas...
33:32 | Sheep: too bad
33:34 | (New member) クラガリ葉月: DM ojisans are saved... for now.
33:35 | Horror: aw...
33:36 | Voltage: NOOOOO
33:37 | SpaceTalon: Dms AWAY
33:38 | Lodowa Wrozka: DM review onegai
33:40 | dartherori: cringe essays
33:41 | Cheese: DMs away
33:47 | Voltage: it wouldve been funny
33:47 | (New member) Mister Eko: lol
33:48 | (New member) Theblekedet: cencor the name
33:51 | (New member) OverMagnet: BIG KUSA
33:57 | (New member) XenMaster220: OJI-SAN DMs AWAY!!
33:57 | (New member) Theblekedet: You can censor the name
34:01 | (New member) Margrave: Ah, would of been funny to read them with us.
34:06 | cristy: hello! it's my first time in your stream, have fun 😀 
34:06 | (New member) CantDood: lmao
34:07 | AtomicBanana 55: It definitely would be a bad idea to expose it without censoring the nanes.
34:08 | (New member) Theblekedet: lmao
34:11 | (New member) TWAIN: lmao
34:11 | (New member) Mister Eko: lol oh no
34:12 | kaiserschmarrn_: lmao
34:12 | Sheep: my sides
34:12 | (New member) Neko Mikuri 寝込みくり: 草
34:13 | (New member) BasedBug: That's a natural consequence of having fans, some cringe posters will try to get too close
34:15 | (New member) Kaiser Kebab: Lmfao
34:16 | (New member) ThePlatinumCan: Cringe
34:16 | (New member) No Body: kek
34:18 | Andrew Ryan: cringe apology AWAY
34:21 | (New member) Zia: Oh no ahah
34:21 | monkeynohito: How will people send you creepy, perverted messages if they don't DM?
34:22 | Your Local Weeb: kek
34:23 | (New member) Margrave: LOL
34:23 | 123457474869: ruh roh we have a newfriend in chat
34:25 | (New member) ThatVidyaGuy: cringe
34:26 | Δ: aieeeee
34:26 | (New member) Matthew: cringe
34:26 | knull: lmao
34:27 | (New member) Canna: Jesus Christ 
34:27 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo:
34:29 | TheHighestNativeGod: cringe AWAY!
34:29 | (New member) Mew: :_sprdo::_sprdo::_sprdo::_sprdo::_sprdo: OH NO
34:29 | AtomicBanana 55: lmao cringe
34:30 | Project Seele: yabe
34:32 | (New member) Moeniki: cringe
34:33 | (New member) LoneRanger25: cringe
34:33 | Cheese: oh dear
34:35 | Sheep: C R I N G E
34:35 | Arcus crundelic: woow
34:36 | (New member) Mister Eko: the punishment has changed sides
34:36 | (New member) 77Yuja_: cannot contact....
34:36 | (New member) OverMagnet: ahhhhhhhhhhhhhh
34:38 | RobDeLaMort: EXPOSE THE CRINGERS SO WE MAY MOCK THEM
34:39 | (New member) Theblekedet: I physically cringed
34:39 | Δ: we got too cocky
34:44 | (New member) Mechanized Doge: うわ
34:46 | Voltage: CRIINGEEE
34:48 | (New member) CantDood: groomer dads please
34:52 | (New member) The Pope: Feel free to peroperoperopero
34:53 | (New member) Nasty Yukari: I don't know who's punishing whom anymore!!
34:53 | Question Box: how can i send a dick pic without DM's?
34:55 | (New member) XenMaster220: Kinda cringe ngl, dude sounds like he's ngmi:_yah:
34:56 | (New member) Zia: I'd think most people would block midway
34:58 | (New member) OverMagnet: AHHHHHHHH
35:05 | BearintheWoods: everyone knows to post cringe in public
35:06 | Mr. Gillespie: wqu too caring dads
35:17 | (New member) Mechanized Doge: 別に気にしてないぜ。
35:21 | David Lopez: putting him on blast hahaha
35:22 | (New member) BRAD AEON 720: good morning
35:24 | SpaceTalon: so what the Bear is saying is to keep the DM to 180 letters
35:25 | (New member) Randel Shurker: Talking about folks posting Cringe on the stupid internet again?
35:26 | (New member) Mister Eko: RATE THE APOLOGY
35:30 | Cheese: helicopter dads
35:33 | ChaseVR: what a weird guy
35:34 | (New member) Neko Mikuri 寝込みくり: やばいわｗ
35:35 | (New member) Kaiser Kebab: It is okay! 
35:35 | (New member) ユーネ: BEATANI LOVE
35:36 | (New member) ThatVidyaGuy: 100000/10
35:36 | AtomicBanana 55: It's not your fault Bea.
35:39 | (New member) BasedBug: People should handle that worry a little better, looking for pity is cringe
35:44 | Voltage: BEAR LOVE
35:45 | (New member) Mechanized Doge: >only the few of you were too concerning
35:47 | (New member) Matthew: bea/10 apology
35:47 | (New member) LoneRanger25: No need to apologize, cringe dads are always cringe
35:49 | (New member) ユーネ: ok:_dayo:
35:52 | (New member) Mechanized Doge: >few... I wonder who?
35:52 | (New member) Mister Eko: BEA LOVE / 10
35:56 | (New member) Theblekedet: It's okay BEA LOVR
36:00 | stuffed idiot: concern/10
36:00 | (New member) ThatVidyaGuy: BEA LOVE
36:00 | (New member) Tianfang's Adventures: Never dm the bea
36:02 | sp33d4l0l: kuma/10
36:02 | (New member) BasedBug: WHO WAS IT
36:03 | (New member) Mew: Phew thats good
36:05 | (New member) BRAD AEON 720: Am I too late for Beatani bullying, is it already dad bullying time?
36:08 | Sheep: ogey
36:11 | (New member) Mechanized Doge: who are the two? 草
36:12 | (New member) Kaiser Kebab: LUV ME BEA
36:13 | (New member) The Flesh Is Weak: REVIEW:_sprdo:
36:15 | (New member) Mew: 2 ojisan filtered 
36:15 | (New member) BasedBug: Among Us but you need to find the ConcernFriends
36:20 | (New member) クラガリ葉月: Two cringe Ojisans..
36:21 | (New member) Suukotto Funsha: Some dads go too far
36:21 | (New member) Zia: not all DM are bad, but the long self-centered ones are annoying yeah
36:23 | Voltage: can anyone tell her about changing her teespring link to make it custom?
36:26 | (New member) Tianfang's Adventures: it is bully time
36:28 | Δ: only 2 ojitan posts per month
36:31 | (New member) Mechanized Doge: 冗談です。
36:33 | Project Seele: no worries, thanks for sharing
36:34 | (New member) No Body: thats less than i thought
36:36 | (New member) OverMagnet: Remember Dads. Don't be the guy who sends cringy DMs to Vtubers
36:44 | (New member) Lazm: cringe dads away
36:44 | (New member) Hanabi: all I do is worry, it's a bad habit. you don't gotta apologize
36:45 | (New member) Mister Eko: don't worry bear
36:47 | (New member) No Body: its okay!
36:49 | AtomicBanana 55: Thanks for talking to us about this Bea.
36:51 | (New member) XenMaster220: DM REVIEW *Clap* *Clap*:_sprdo::_sprdo:□
36:56 | (New member) Sol Codguy: It's all good!
36:59 | (New member) Theblekedet: Apology accepted
37:00 | (New member) BasedBug: I don't think you should apologize for the actions of others
37:01 | (New member) Neko Mikuri 寝込みくり: ある
37:01 | RobDeLaMort: I only cringe in public
37:05 | (New member) Ark K.: ゆっくり、身体休めて、ネ、🎵(^o^)❗（笑）オヤスミナサイ✋😪今日も、大変だっ、た、んだ、ネ、(^▽^;)^^;(-_-;)(T_T)(・_・;😰(￣Д￣；；(◎ ＿◎;)
37:06 | Question Box: it alright 
37:06 | (New member) OverMagnet: □:_sprdo:❤
37:07 | Alexander Holzer: Hahahaha
37:07 | kardy b: my apologies
37:08 | (New member) The Pope: Pretty much
37:08 | (New member) ユーネ: don't worry bea
37:08 | cristy: "my apologies" you can also say
37:09 | VerticalCloud: many ways
37:11 | (New member) Absolute Link: more or less
37:12 | (New member) Raziel: There is "My bad"
37:12 | (New member) Mechanized Doge: I sincerely apologize for causing concern、とかかな？自分はすごく申し訳ないです。
37:13 | (New member) No Body: gomin
37:13 | (New member) Moeniki: ojisan AWAY
37:13 | ZVN: You can also say "I apologize"
37:14 | (New member) The Flesh Is Weak: dogeza:_sprdo:now:_sprdo:
37:14 | (New member) Canna: "Please forgive me" works too 
37:15 | (New member) ThatVidyaGuy: It's the most standard way.
37:16 | (New member) クラガリ葉月: I'm "Very" Sorry.
37:17 | (New member) LassesAffar: I'm sorry; Excuse me; Please forgive me
37:17 | (New member) Matthew: cringe dads go back
37:18 | Aizekku: "Please forgive me"
37:19 | (New member) ユーネ: BEATANI LOVE
37:20 | cristy: "pardon me"
37:22 | SpaceTalon: the English don't like to apologize so they have only one way 
37:22 | (New member) Sol Codguy: The english also have a culture of naked dogeza to apologize
37:24 | (New member) Fake Name: My sincerest apologies
37:26 | Alexander Holzer: "I apologize" is pretty intense too
37:28 | Herbie Cucumber: "I regret nothing"
37:28 | AtomicBanana 55: You can also say "I aplologize" or something.
37:28 | (New member) Raziel: "oops"
37:29 | Sheep: I apologize, i'm sorry, my bad
37:29 | eeo: "I'm sowwy uwu"
37:29 | (New member) BasedBug: "I'm sorry that you're so cringe"
37:31 | RobDeLaMort: "I'm fuckin sorry"
37:31 | (New member) Neko Mikuri 寝込みくり: たとえばmy apologiesとかexcuse me, my bad, apologies
37:32 | (New member) ユーネ: no need to apologize
37:33 | (New member) No Body: or just “sorry“
37:35 | Your Local Weeb: "sorry bout that" also works
37:35 | (New member) 77Yuja_: we usually naked dogeza like said above
37:36 | Δ: "yea, sorry"
37:42 | (New member) Xayn: The entirety of japanese revolves around apologizing
37:42 | (New member) Lazm: "my bad"
37:43 | (New member) Verijero: beatani love
37:44 | kardy b: "sorry" "my bad" "shit, my bad"
37:45 | Lodowa Wrozka: 'I deeply apologize' if you are really sorry
37:45 | (New member) クラガリ葉月: You go too far and it sounds sarcastic.
37:47 | (New member) Nasty Yukari: "It's not my fault faq u"
37:48 | BearintheWoods: English isn't so big on saying sorry
37:51 | (New member) Sol Codguy: "sorry, chump"
37:53 | (New member) Raziel: "mea culpa" for some Latin points
37:53 | (New member) Absolute Link: lmao
37:55 | (New member) Mew: The most Japanese thing
37:55 | dartherori: my bad bro
37:57 | 123457474869: Just do the ol' "I'm sorry you feel that way". Works every time
38:01 | (New member) Verijero: only dogeza now
38:02 | (New member) OverMagnet: Usually you can add modifier like "very"
38:03 | AtomicBanana 55: You don't have to be sorry for concerning us you know.
38:11 | (New member) Rye Mountain: Don't worry about it
38:15 | (New member) ユーネ: ok:_dayo:
38:15 | BearintheWoods: "are you fucking sorry" is a classic
38:16 | (New member) XenMaster220: :_yah:
38:16 | Andrew Ryan: the most omoi is probably just I'm sorry
38:17 | (New member) Matthew: Understood
38:17 | (New member) The Pope: "I sincerely apologize" is super formal
38:17 | cristy: not the "I'm sorry you feel that way" ouch 
38:18 | (New member) Zia: Alright then
38:19 | (New member) LassesAffar: yes
38:20 | (New member) Verijero: no worries
38:21 | (New member) Kofi: it is okay
38:21 | (New member) Margrave: It's cool
38:21 | (New member) TWAIN: :_yah:
38:22 | (New member) 77Yuja_: okay
38:23 | (New member) ユーネ: don't worry about it
38:23 | (New member) Theblekedet: It's okay
38:24 | (New member) Nasty Yukari: @123457474869 kek?
38:24 | (New member) Zia: It's okay THIS TIME
38:24 | (New member) Canna: No big deal 
38:25 | Voltage: im soory you feel this way, is used to shift itt
38:26 | (New member) Sol Codguy: A-OK!
38:26 | (New member) The Flesh Is Weak: orz:_sprdo:
38:26 | (New member) SukiKirai: no need to apologise we worry because we want
38:27 | (New member) No Body: its no cause for concern
38:27 | (New member) Zed: yes
38:27 | (New member) Mechanized Doge: lmao nice one @SpaceTalon 
38:28 | (New member) CantDood: okaaay
38:30 | AtomicBanana 55: Nice apology! 👍
38:30 | Andrew Ryan: 一番重いは多分I'm sorry
38:33 | (New member) Theblekedet: BULLYING DADS TIME
38:39 | Project Seele: no need to apologize 😌👍
38:39 | (New member) Fake Name: "I'm really sorry" is a casual way to up the ante
38:40 | (New member) Neko Mikuri 寝込みくり: なんか英語の敬語っぽいｗ
38:41 | Marploah: this
38:43 | (New member) Mister Eko: Dads, imagine the dogeza
38:44 | (New member) Koruru: ドンマイだよ!
38:45 | (New member) Zeng: no dogeza, we hate dogs
38:46 | (New member) Moeniki: dogeza:_kita:
38:48 | (New member) ThatVidyaGuy: :_yah:
38:49 | Voltage: WORRYDADS AWAY
38:49 | Cheese: what matters is that you're alright
38:49 | (New member) The Pope: It's all daijobu Bea
38:53 | (New member) BasedBug: Hug it out, dads, hug it out
38:53 | Andrew Ryan: upgraded beatani model with dogeza!!
38:57 | Δ: ojitans should be the ones doing naked dogeza
38:59 | (New member) Mechanized Doge: I'm a salesman/customer support, so I like to use "sincerely apologize"
39:00 | (New member) Mew: :awesome::awesome::awesome:🙇🙇‍♂🙇‍♀
39:01 | (New member) OverMagnet: 🙇
39:05 | Alexander Holzer: It's all good
39:16 | TheHighestNativeGod: What will the stream be about?
39:20 | (New member) Matthew: Now time to play Omori?
39:22 | (New member) Sol Codguy: Dogeza for everyone!
39:27 | (New member) CantDood: I'll forever wait for the dogeza then
39:30 | RobDeLaMort: Cheer up :o
39:31 | (New member) The Flesh Is Weak: uoooh
39:32 | Horror: just a bad day lmao
39:33 | Brandon21: I accept the apology, kusogaki. 😌
39:35 | sp33d4l0l: Omori, or "Omori"?
39:35 | (New member) Raziel: please excuse my cringe
39:36 | (New member) 77Yuja_: all good
39:39 | (New member) BasedBug: All good!
39:41 | (New member) Fake Name: "I have no excuse" is the literal translation of moushiwake arimasen
39:43 | (New member) Takahama Nuuta: then go to punishment
39:43 | (New member) Moeniki: RTA
39:44 | (New member) Neko Mikuri 寝込みくり: おもろかった
39:48 | (New member) CommanderMichael: nice stream dayo
39:53 | (New member) No Body: rate the stream?
39:57 | AtomicBanana 55: No problem. Glad to be here.
40:01 | (New member) Suukotto Funsha: All good, sometimes you just need to get your thoughts out there
40:02 | (New member) max r: hope u feel better now !
40:03 | (New member) クラガリ葉月: 了解。後でワタモテ読んでないぞ。
40:06 | (New member) XenMaster220: BEA LOVE!!□
40:07 | (New member) ThePlatinumCan: Cheer up, you're truly beased bear. :_sprdo:
40:07 | (New member) BasedBug: I don't think we can punish her more than she's punished herself
40:09 | Andrew Ryan: punishment/10
40:10 | Δ: always rember happy day 
40:10 | (New member) ユーネ: no CHKN?
40:14 | (New member) Zia: So when is the punishment
40:17 | (New member) Margrave: □/10 
40:18 | (New member) Mew: You know what you should do? RING FIT
40:19 | (New member) imalittle cupcake: Punished Bear...
